department,dep,title,ask
儿科,耳鼻喉科,小孩扁桃体炎低烧理应如何治疗好,男宝，刚满3个月，一开始，说话时觉得嗓子疼，发现，咳嗽好像也比较严重，并且，有点发烧也没精神，请问：小孩扁桃体炎低烧理应如何治疗好。
儿科,耳鼻喉科,小孩子扁桃体发炎低烧该怎样诊治,我家女宝，今年1岁，刚开始，说自己嗓子疼，察觉到，咳嗽好像也比较严重，另外，伴有低烧，请问：小孩子扁桃体发炎低烧该怎样诊治。
儿科,耳鼻喉科,小孩儿中耳炎耳屎黄该怎样治疗,我家女宝，今年9岁，较近几天，孩子说自己耳朵疼，早上，有黄色的耳屎流出，并且，伴有一些低烧，请问：小孩儿中耳炎耳屎黄该怎样治疗。
儿科,耳鼻喉科,儿童中耳炎听不清说话怎样医治,男孩子，已经7岁了，这几天，孩子说自己耳朵疼，早上，耳屎很多很黄，而且，伴有头痛发烧，请问：儿童中耳炎听不清说话怎样医治。
儿科,耳鼻喉科,孩子扁桃体炎症低烧该怎么样治疗好,我家男宝，今年9岁，刚开始，说话时觉得嗓子疼，发现，咳嗽好像也比较严重，同时，好像低烧一直都没退，请问：孩子扁桃体炎症低烧该怎么样治疗好。
儿科,耳鼻喉科,孩子的扁桃体发炎了高烧如何治效果好,我家男宝，今年4岁，刚开始，说话时觉得嗓子疼，发现，说话的时候声音有点沙哑，而且，现在已经高烧不退了，请问：孩子的扁桃体发炎了高烧如何治效果好。
儿科,耳鼻喉科,孩子中耳炎耳朵痒怎样治效果好,我家的孩子是男宝宝，2岁，这一周，孩子的耳朵有点疼，早上，有黄色的耳屎流出，另外，食欲也不好，嗓子也不舒服，请问：孩子中耳炎耳朵痒怎样治效果好。
儿科,耳鼻喉科,孩子出现扁桃体炎低烧该如何医治,男宝，刚满1个月，一开始，说话时觉得嗓子疼，发现，咳嗽比较剧烈，另外，现在已经高烧不退了，请问：孩子出现扁桃体炎低烧该如何医治。
儿科,耳鼻喉科,我儿子今年七岁，他有扁桃体炎，须切除扁桃体，,"最近两年才感觉到他晚上睡觉爱打呼，有时又轻微憋气，还伴有盗汗，容易感冒，嗓子痛。。
在蚌埠铁路医院和蚌埠三院看过"
儿科,耳鼻喉科,孩子扁桃体有炎症很疼理应如何治疗才好,男孩，12岁，上小学了，刚开始，说自己嗓子疼，发现，伴有轻微的咳嗽，同时，伴有低烧，请问：孩子扁桃体有炎症很疼理应如何治疗才好。
儿科,耳鼻喉科,宝宝吞咽困难怎么办,宝宝十一个月了，最近吃东西感觉吞咽困难，痛噎人似的，其他时间会反上一口，又咕咚咕咚咽水的声音，大便偏稀，怎么回事？
儿科,耳鼻喉科,儿童中耳炎耳屎黄理应如何诊治,我家男宝，今年2岁，这一周，孩子说自己耳朵疼，早上，发现耳屎是脓状的，有点黄，同时，耳朵嗡嗡的，有点低烧，请问：儿童中耳炎耳屎黄理应如何诊治。
儿科,耳鼻喉科,小儿扁桃体炎疼理应如何治效果好,男孩子，已经3岁了，一开始，说自己嗓子疼，察觉到，伴有轻微的咳嗽，同时，一直都有点发烧，请问：小儿扁桃体炎疼理应如何治效果好。
儿科,耳鼻喉科,孩子扁桃体有炎症咽疼饮食该注意什么,女宝宝，目前2岁，一开始，说自己咽东西疼，察觉到，说话的时候声音有点沙哑，并且，好像低烧一直都没退，请问：孩子扁桃体有炎症咽疼饮食该注意什么。
儿科,耳鼻喉科,小儿扁桃体炎疼如何治疗,女宝宝，才8个月，刚开始，说自己咽东西疼，察觉到，吞咽好像有点困难，并且，一直都有点发烧，请问：小儿扁桃体炎疼如何治疗。
儿科,耳鼻喉科,婴儿鼻塞，有点咳嗽吃什么药？,我女儿一个月，鼻塞，喘气非常费力，稍有咳嗽，应该吃什么药？
儿科,耳鼻喉科,孩子扁桃体发炎了高烧有哪些饮食禁忌,男孩子，已经3岁了，一开始，说嗓子喝水都觉得疼，发现，咳嗽好像也比较严重，而且，伴有低烧，请问：孩子扁桃体发炎了高烧有哪些饮食禁忌。
儿科,耳鼻喉科,儿童扁桃体炎高烧该怎么样治疗好,男孩子，已经1岁了，一开始，说自己嗓子疼，察觉到，说话的时候声音有点沙哑，同时，好像低烧一直都没退，请问：儿童扁桃体炎高烧该怎么样治疗好。
儿科,耳鼻喉科,5岁男孩睡觉鼻子不通气打喷嚏,睡病情描述:男5岁睡觉时鼻子中是不能呼吸经常打喷嚏流鼻血呼伦贝尔市医院就诊过，曾经治疗情况和效果:没有效果，就说是过敏性炎症想得到怎样的帮助:哪里能查过敏源，尽快治好，谢谢。
儿科,耳鼻喉科,孩童中耳炎耳朵流黄水应怎样治疗,女宝宝3岁，刚上幼儿园，这一周，孩子说自己耳朵疼，察觉到，耳屎有点稠且偏黄，另外，伴有头痛发烧，请问：孩童中耳炎耳朵流黄水应怎样治疗。
儿科,耳鼻喉科,儿童中耳炎流脓应当如何治效果好,我家男宝，今年7岁，较近几天，孩子一直扣耳朵，说痒，察觉到，耳屎很多很黄，而且，耳朵嗡嗡的，有点低烧，请问：儿童中耳炎流脓应当如何治效果好。
儿科,耳鼻喉科,婴幼儿扁桃体炎发烧应当如何治疗好,男宝，刚满4个月，一开始，说嗓子喝水都觉得疼，察觉到，咳嗽好像也比较严重，并且，好像低烧一直都没退，请问：婴幼儿扁桃体炎发烧应当如何治疗好。
儿科,耳鼻喉科,要是小孩扁桃体发炎往往会出现什么常见表现,我家女宝，今年3岁，一开始，说话时觉得嗓子疼，察觉到，咳嗽好像也比较严重，同时，好像低烧一直都没退，请问：要是小孩扁桃体发炎往往会出现什么常见表现。
儿科,耳鼻喉科,孩子中耳炎耳朵疼理应如何诊治,我家男宝，今年1岁，这一周，孩子告诉我耳朵有点疼，察觉到，偶尔还会有黄色的液体流出，并且，伴有一些低烧，请问：孩子中耳炎耳朵疼理应如何诊治。
儿科,耳鼻喉科,幼儿扁桃体炎高烧理应如何治疗,男宝，刚满6个月，刚开始，嗓子眼有点痛，察觉到，伴有轻微的咳嗽，另外，有点发烧也没精神，请问：幼儿扁桃体炎高烧理应如何治疗。
儿科,耳鼻喉科,出现小孩子扁桃体发炎会出现什么症状,男孩子，已经8岁了，刚开始，说自己嗓子疼，发现，吞咽好像有点困难，另外，好像低烧一直都没退，请问：出现小孩子扁桃体发炎会出现什么症状。
儿科,耳鼻喉科,孩子中耳炎耳屎脓状该如何医治,男宝，刚满3岁，较近几天，孩子告诉我耳朵有点疼，另外，有黄色的耳屎流出，另外，耳朵嗡嗡的，有点低烧，请问：孩子中耳炎耳屎脓状该如何医治。
儿科,耳鼻喉科,幼儿扁桃体炎症高烧该怎样治效果好,我家女宝，今年2岁，刚开始，说自己咽东西疼，察觉到，伴有轻微的咳嗽，另外，一直都有点发烧，请问：幼儿扁桃体炎症高烧该怎样治效果好。
儿科,耳鼻喉科,孩子扁桃体炎症低烧该如何治疗才好,男孩，9岁，上小学了，刚开始，嗓子眼有点痛，察觉到，说话的时候声音有点沙哑，而且，有点发烧也没精神，请问：孩子扁桃体炎症低烧该如何治疗才好。
