department,dep,title,ask
儿科,内科,手足口病用打针吗？,宝宝现在5岁的，带他去波波池玩的时候传染了手足口病的。发觉的时候就已经把家里他所有的东西都灭菌一遍了。也到医院开了药吃的，医生要开针打的，我没打。手足口需要有吃药吗？
儿科,内科,口渴喝水又吐是什么情况,晚饭后大概22点左右 
儿科,内科,我女儿刚满月脸黄检查说胆黄素高胆管阻塞需要做,11月10好吧
儿科,内科,七个月的宝宝拉肚子后怎么办才好,宝宝七个月9天，11月23日晚拉肚子一次，蛋花状，过了半小时后喝奶粉，150毫升，大概间隔5分钟，全部吐露出。11月24日早上已经开始发烧37.5度，（确认为秋季恶心呕吐）随后已经开始低烧38度，吃了小儿柴桂，贴了退热贴，温度逐渐正常，个小时后又已经开始发烧，当天总共烧了3次，最高温度38.9度，后面两次发烧都是靠布洛芬滴剂控制住的。烧退开，接下来两天已经开始拉肚子，不是稀水，一天5次约莫，吃了益生菌和蒙托石散，还贴了膏药，益生菌一直吃，蒙托石散吃了两天。截稿到今天28日，共五天，今天已经开始拉稀水，一天拉了四次，今天吃了一顿蒙托石散，益生菌一直在吃，今天也已经开始服食补液盐㈡（成分说一袋配500毫升水，但是我觉着太浓，于是一袋配1500毫升水，今天下午已经开始喝）。我家宝宝这种症状还会保持多长时间，还需要有怎么治疗。 
儿科,内科,呼吸中可有烂苹果味是什么病症？,这些天呼吸频率增快，呼吸变深变慢，还总是觉得有一股类似烂苹果味，问了医生，医生说是糖尿病合并酮症酸中毒，听起来很恐怖，自己觉得这病要挺严重的吧
儿科,内科,肾病严重么,"我父亲今年61岁,得肾病已有3年,刚开始肌肝300多一点,现在肌肝1000多一点,已做了一次透析,我想问一下,以后在吃的方面要注意哪些"
儿科,内科,宝宝心机酶偏高怎么办,由于宝宝是剖腹产降生，手术后医生确诊为高危儿，羊水二次污染，立即转儿科监护室，经仔细检查宝宝心机酶偏高，心机酶偏高会不会对宝宝蜕变有什么干扰？如何治疗？降生7天的宝宝
儿科,内科,婴儿感冒食欲不振怎么办,有一个多月了，断续感冒，低热，手心热，不吃饭
儿科,内科,小孩高烧不退发烧肚子疼怎么办,不知道怎么回事，孩子最近总是不听话，哭闹不休，去医院也检查也没用，请问小孩高烧不退发烧肚子疼怎么办
儿科,内科,宝宝醒来有点鼻塞咋办,宝宝昨天早上醒过来有点鼻塞，白天就没事儿了，昨天晚上咳了几声，今天早上醒过来鼻塞，感觉嗓子里有痰，咳了几下，刚刚有点流鼻涕了，流的清鼻涕，一点点。都说孩子太小最好不要喝药，但是听说现在是病毒性感冒，小儿针灸好用吗？还是去医院拿药吃呢 
儿科,内科,糖尿病9年目前便秘严重怎么办,一直吃格列齐特和二甲双胍，血糖控制得还可以，就是便秘在加重，目前大约7天一次大便，很痛苦
儿科,内科,D缺乏症平日生活饮食应注意什么？,血液筛查查出来G6PD缺乏症应当留意什么？新生儿血液筛查曾经的救治情况和效果：G6PD缺乏在乎怎样的协助：写份注意事项给我...
