department,dep,title,ask
内科,消化科,有贲门迟缓症吞咽困难怎么办,吃饭吞咽困难，包括喝水，很痛苦
内科,消化科,胃炎咽部异物感怎么办,里为什么咽部有感觉到不适，不疼不痒，就是不得劲，老觉着咽部异物感，去看过医生说我是咽炎，他说与胃炎相关，我不抽烟不喝酒的怎么又得咽炎了呢？有时晚上躺下睡觉时我的肚子里咕噜咕噜得响，有水声响，稍微一降温，晚上腿部膝盖还发凉，最主要的是这两三年一直持继消瘦，吃什么也胖不下来，吃多了还不舒服，大便最近有点不成形并且拉的特多，以前都是有那种干干的那种，尤其刚开始那点。我看了下自己的舌头有点胖大，舌边有齿痕，我十三岁的那年还得过肾炎呢，吃过激素，与它有关系吗？身体一直在消瘦。胃炎有两年多了，但是原来没咽部异物感的症
内科,消化科,请问浅表性胃炎怎么处理,昨天出现黑便今天注射止血针，是浅表性胃炎造成的吗，但孩子无腹痛
内科,消化科,胃窦炎和幽门螺杆菌有什么关系,我亲戚50几岁了，有浅表性胃炎（胃窦炎）请问下怎么治疗？可以完全治疗好吗？听说胃病和幽门螺杆菌有关？要不要检查幽门螺杆菌这一项呢？这个病和幽门螺杆菌有关吗？
内科,消化科,我有胃病开始有点痛但这是癌症吗,我有胃病已经开始有点痛但这一阵只是反胃想吐但没吐消化不好早上如果吃得多中午就不想排便上腹部有点不适但过了12点2-3点时又饿吃的还算多后面吃了点阿莫西林感觉没那么反胃了只是上腹部有个地方有时痒痛一下就5秒钟的样子是癌变的症状吗？
内科,消化科,想咨询经常口臭是咋回事？,"为什么早上一上床睡觉都会口臭,而且牙齿上都有许多黄色的像粉末一样的东西粘在牙齿上,又臭又难闻，这是怎么回事呢？"
内科,消化科,怎样才可以快速止胃痛,我刚开始以为是胃胀，吃了点消食片，下午就已经开始疼了，拉肚子，还冒冷汗，又不想去医院，想知道怎么快速止胃痛呢？
内科,消化科,治疗慢性胃炎有差不多一年了，感觉效果不怎么好,治疗慢性胃炎有差不多一年了，感觉效果不怎么好！这两天一直胃痛，打气隔。有时干呕。还有灼热感！嘴唇发干，没舌苔！
内科,消化科,浅表胆汁性胆汁反流性胃炎吃什么药能根冶,病史有快3年了，一直断断续续喝药，最近在吃奥美拉唑，阿莫西林，克拉霉素可以吗？。最近老觉着胃隐隐的痛，有时晚上痛的厉害。
内科,消化科,胃病和心脏,有19年了，半夜胃部到胸部难受不能入睡，到医院查胃镜是浅表性胃炎，心电图查也没有结果，好打嗝，反胃肚子好响。
内科,消化科,幽门螺旋杆菌现症感染带和幽门螺旋杆菌Ig,幽门螺旋杆菌现症感染带和幽门螺旋杆菌IgG都是阳性（+）幽门螺旋杆菌现症感染带和幽门螺旋杆菌IgG都是阳性（+）病人有反流性食管炎暂时没照胃镜并且有胃胀现象请问有没有大的危害用雷贝拉唑钠肠溶胶囊有效么
内科,消化科,晚上就被尿涨醒每次量少怎么回事,最近是否与白天喝水有关呢
内科,消化科,我爸爸胃不好 吃了饭以后  难受  去医院也,半年了  65岁了 吃了饭以后肚子难受   
内科,消化科,脑室出血和胃出血一起发病应该怎么办呢？,脑室出血和胃出血一同病发，女69了，晕迷状态，今天第三天了，下午喊她，能睁开眼睛可以流泪，能醒过来吗？
内科,消化科,肚子痛腰酸是来月经的前兆吗,无
内科,消化科,半枝莲与什么药配能治疗肝囊肿,2015年3月
内科,消化科,刷牙的时候想呕吐是什么原因,"刷牙的时候,常常会觉得要呕吐的感觉,是为什么呢?"
内科,消化科,肠胃炎肚脐周围疼痛，右小腹疼，腰疼，疼痛不定,肚脐周围疼痛，右小腹疼，腰疼，疼痛不定，白带异常
内科,消化科,请问我喝酒引起的胃粘膜受损是怎么回事,无
内科,消化科,有口臭怎么办呀,"患者患者患者我做了包皮手术有2周了,可是最近几天水肿下来了,龟头和包皮连通的地方也水肿了,并且阴茎都膨胀回来了,您好这是什么原因?我应当怎么办?注意什么?"
内科,消化科,"喉咙里有东西,并常伴有恶心的症状怎么回事",患者性别男
内科,消化科,恶心干呕不想吃饭前两天又吐又垃怎么办,恶心干呕不想吃饭前两天又吐又垃
内科,消化科,为什么大便会不周期，一个星期一次大便甚至是两,就是大便没有周期，少便，有时一个星期一次，更严重的事有时竟然是两个星期一次。我不知道怎么了，该怎么办，而且着个现象已经有几年的病史了，而且经常大便结团，或是便秘！所以想请叫你！
内科,消化科,胃里总觉得有一股气，不知是什么原因？要紧吗？,详细病情及咨询目的:就是以前连续吃了一个月的汤圆，后然就觉得胃有股气，如果吃的太饱就会痛，不消化，请问是吃汤圆引起的还是其他什么的。谢谢！
内科,消化科,胃仙u可以长期 吃吗？,无
内科,消化科,引起便秘的原因是那些,引起便秘的原因是那些
内科,消化科,大便有血怎么治疗好,前天发现大便表面有血，肛门痛，大便开始很干，后来正常，大便时肛门痛，纸上微微红色，昨天依旧便秘，大便有血不知道属不属于大便与血混合，纸上有黄色粘液，今天大便黑色很干，开始有血，后来正常也不干了，但也不是腹泻，没有其他不适，一直便秘
内科,消化科,厚血膜法观察微丝蚴看到的无法判断是丝虫病,用自己的血做厚血膜法观察微丝蚴的时候，在40倍镜下看到一个条状两侧发散一头发尖的东西，但看不到核，它的内部是一片蓝色。我很担心是不是丝虫病，请问这究竟是微丝蚴还是血没涂开？
内科,消化科,慢性萎缩性胃炎的原因是什么,患者男，60岁。身体良好，生化检查正常。餐前，胃痛难忍、
内科,消化科,便秘，肠鸣如何治疗？,便秘，肠鸣
内科,消化科,"左腹疼痛,伴有恶心怎么回事？","女
  22
 我每个月底(27日-31/2日)出现左腹疼痛,很胀,不想吃饭,伴有恶心,疼起了行动都不便,持续4  5天后就没有次现象,一般13日来月经,有三个月的时间了."
内科,消化科,反复腹泻和腹痛如何治疗,"病情描述:拉肚子反复有一个多月了，一直在吃药，换了很多种药了,这几天上腹一直痛，肚子不是中间就是两边来回像是窜气，一直有肠呜，刚做完胃镜说是浅表萎缩性胃炎并伴有胆汁迫流症，曾经治疗情况和效果:吃了许多药都不见效，如，福呱酸，思秘达，六味香莲片，打点滴，等都记不清了，想得到怎样的帮助:做什么检查好，吃什么药呢/，期待你关怀！！"
内科,消化科,孩子为什么不爱吃蔬菜,不知道孩子是不是生病了啊，之前我这孩子是什么饭菜都吃的很香的，而且基本上都不怎么挑食的，现在却是不喜欢吃蔬菜了，想知道这是什么因素或病因造成的呢？
内科,消化科,十二指肠球部溃炎和肥厚性胃炎怎么办？,近一年来胃很圆，最近感觉很顶，拉绿色的便便已持继快两周时间，我该怎么办？
