department,dep,title,ask
内科,神经科,脑炎打什么药？,最近不知道怎么回事睡不着，特别影响板式效率，朋友推荐去神经内科看看，请问脑炎打什么药？
内科,神经科,身上像电触是癫痫吗,半夜睡觉突然全身像电触一样，四肢僵硬。使不上力，特别难受。大约过段时间就会有一次。且只在夜里发作，请问专家。这是癫痫么？
内科,神经科,新生儿脑膜炎怎么引起的,最近不知道怎么回事睡不着，特别影响板式效率，朋友推荐去神经内科看看，请问新生儿脑膜炎怎么引起的
内科,神经科,癫痫病的病因具体都有哪些？,说起癫痫想必大多数人都是一脸的紧张，那么请问，癫痫病的病因具体都有哪些？
内科,神经科,如果患有癫痫病吃什么好,喉咙控制不了呼吸有问题，患有癫痫病，不知道怎么吃有助于病情。
内科,神经科,脑炎与脑膜炎的区别,患者年龄:我舅舅在国外得了脑炎想咨询一下脑炎与脑膜炎的区别然后回国诊治
内科,神经科,脱髓鞘疾病的临床症状有什么,脱髓鞘疾病有什么临床症状
内科,神经科,请问小孩为什么会得癫痫病,"我的小孩，男孩，一岁4个月了，8个月时开始出现过两眼上翻，面部发紫，嘴抽动，小手紧握着持续1到2分钟后睡了，醒后好好的，到很多医院检查都没什么结果，这是不是小儿癫痫呢。脑电图，脑地形图，血，心脏等还做了24小时脑电图都没什么问题，这是怎么回事呢。微量元素等都做了都没问题，到现在已经出现过5次这样的现象了。
"
内科,神经科,这样的情况能治好吗？,你好，我儿子出生时重度窒息，医生说是脑瘫，五个月时发烧引发癫痫。每天早上特别爱抽筋，每次几秒，每天很多次，有时抽一两下就好了。去年在贵阳妇幼医院看，吃了半年德巴金丙戊酸钠，没起色后来就停用了。我想请问这样的情况能治好吗？要治多久？大概多少钱？谢谢。
内科,神经科,脚趾无法伸直无力筋不动能否治愈,见标题
内科,神经科,抽动症不吃药能好吗,最近不知道怎么回事睡不着，特别影响板式效率，朋友推荐去神经内科看看，请问抽动症不吃药能好吗
内科,神经科,治疗癫痫病最好的药是什么,我的孩子不知道为什么患有癫痫病，有时候手脚会突然不受控制的抖动，完全不能控制，几分钟后又好了。我带他去医院做了一系列检查，医生说这没有什么大的问题，请医生介绍好药。
内科,神经科,小孩抽动症的原因,最近不知道怎么回事睡不着，特别影响板式效率，朋友推荐去神经内科看看，请问小孩抽动症的原因
内科,神经科,枕大神经痛点天麻素可以吗,半个月了，就像有一根线由颈部到耳朵后面到头顶，转头疼痛厉害，时间长了太阳穴就有鼓胀感痛的严重。
内科,神经科,脑肿瘤手术后继发癫痫,20年前有过脑肿瘤手术后有癫痫表现症状常在夜间发作
内科,神经科,血管神经性头疼的治疗方法,头痛二十余年，紧箍痛，睡眠也好，饮食也正常，经各种检查都是功能性，头痛的基本药物都吃过不起作用，只有按摩能缓解疼痛。请问有什么好的治疗方法？血管神经性头疼的治疗方法？
内科,神经科,脑外伤引起的后遗症,脑外伤引起的后遗症2008年，脑外伤引起意识障碍呆滞抽搐，2到3天发作一次，做过动态脑电图CT核磁，无诊断结果。是否是癫痫?
内科,神经科,脊髓型多发性硬化要吃什么药物,96年因住院崩溃三个月，至今一直被多发性硬化的病痛困恼，走路僵硬，双足麻木、疼痛，大便干燥，小便不畅。在乎的帮助：担心以后会崩溃，想知道怎么预防工作控制，需要有吃那些药？
内科,神经科,癫痫患者要怎么做才能减轻病痛？,最近的心情很差的，我的同学得了癫痫病，我很担心，我想要去帮助他一下，感觉自己的责任很大的，我现在都是没有照顾好班里面的情况，经常班上抽搐啊。
内科,神经科,癫痫病人平时需要注意什么？,我前几天突然躺在地上口吐白沫，浑身抽搐，翻白眼，把家人吓坏了，送去医院才知道这是癫痫病，也就是大家通常说的羊癫疯，医生给开了一些控制病情的药，还说平时要多注意病人的情绪。
内科,神经科,癫痫病的手术适应症有哪些？,老公是去年发病的，但是他骑着自行车在回家的路上，据路人介绍当时老公一下子就手脚抽搐倒地上，口吐白沫，还好骑得是自行车如果是摩托或开的小车就危险了，听说手术治疗癫痫不错，那么老公适合做手术吗。
内科,神经科,羊角疯的症状能治疗好么？,　　羊角疯的症状能治疗好么?患者女，29岁，以前身体状况良好，去年年底发现癫痫病，至今断断续续有复发，发病时四肢抽搐，口吐白沫，小便失禁，神智不清。曾经治疗，到现在还是靠药物控制。虽然靠药物控制，有时候也会复发。
内科,神经科,药物治疗癫痫好不好,男在最近的时间出现了一次癫痫大发作也就是突然丧失意识，倒地后头后仰，犹豫膈肌痉挛出现吼叫，四肢抽搐，口吐白沫，面色发青，眼睛上翻并且伴有大小便失禁，去医院检查说是得了癫痫。
内科,神经科,癫痫能够彻底治愈好吗？,09年得的这个病，当时心里非常的害怕，不知道怎么办才好，家里又没有钱，不知道这种病能不能够治愈的好。如果治不好，我就不治了。
内科,神经科,癫痫病治疗方法哪种好？,唐大伯今天突然神志不清，胡言乱语，全身肌肉强直僵硬，口中有呕吐物等症状。到中医院急救后被诊断为癫痫小发作，医生给予治疗。我想请问一下癫痫病治疗方法哪种好？
内科,神经科,神志丧失是癫痫发作时的症状吗？,一侧面部肌肉抽搐，一下接一下，抽搐时意识清楚。想问下神志丧失是癫痫发作时的症状吗？
内科,神经科,中医应怎么治疗癫痫病,经医院检查，我不幸被告知癫痫病，听说有好多治疗方法，但是我还是相信中医治疗法，不知道中医是怎么治疗癫痫病的？
内科,神经科,请问癫痫的饮食需要注意什么,妹妹患有癫痫病好几年的时间了，每次发病都会四肢抽搐，口吐白沫，特别的吓人，一直都在找方法给妹妹治疗，可是效果不是很好，癫痫的饮食要怎么护理呀
内科,神经科,患了癫痫，犯病的时候都有哪些症状,我们公司里有一个癫痫病患者，他刚刚好办公的地方就在我旁边，我刚进公司所以没见过他犯病，然后今天早上我本来工作很忙的，可是突然听到椅子倒在地上的声音，然后我就看到他倒在地上不停的抽搐，嘴角还口吐白沫
内科,神经科,先天性癫痫病会遗传吗？,我的父亲今年47岁，在2月7号和2月12号分别复发了两次癫痫，此前从来没有过，2月16号在山西武警医院医生诊断为是先天性癫痫曾经的救治情况和效果：父亲原来从来没有复发过癫痫且我的爷爷奶奶也没癫痫在乎怎样的协助：我想寻问医生我父亲的癫痫会隔代遗传给我们吗？隔代遗传概率有有多少？如果我做脑超现在能查出来是不是癫痫吗
内科,神经科,胸椎12骨折脊髓损伤如何处理？,胸椎12骨折脊髓损伤，下肢不能动，无知觉，但是麻木的厉害
内科,神经科,降低癫痫的遗传率家长需做什么？,自从同事小华知道自己的妻子是癫痫病患者，一直吵着闹着要离婚，原来是小华非常喜欢小孩子，可是，他怕妻子怀孕了，孩子一出生就被确诊为癫痫病患者，不过，最近听说癫痫的遗传率在做好有效措施后就能降低。
内科,神经科,癫症只在睡觉时发作怎么回事,最近不知道怎么回事睡不着，特别影响板式效率，朋友推荐去神经内科看看，请问癫症只在睡觉时发作怎么回事
内科,神经科,小儿癫痫，该如何治疗,医生，我亲戚家孩子今年12岁了，从小就有癫痫，有了它我的朋友都很少找孩子玩，自己时常一个人呆着无聊，可家里人也不让乱跑。
内科,神经科,多少岁可能患帕金森病,我最近感觉手脚像不听使唤一样，自己脑中想好了但是进攻下来老是速度很慢，朋友说我走路姿势也有点古怪了，有时候答话都成问题，我不知晓自己怎么了在乎怎样的帮助：多少岁最可能会患帕金森病
