department,dep,title,ask
外科,普通外科,孕妇疝气怎么办,前
外科,普通外科,手腕割伤肌腱断裂伤口缝针现已拆线伤口很肿是怎,无
外科,普通外科,脸跌肿了用什么药消肿最快,无
外科,普通外科,两岁的宝宝感冒能用姜水泡脚吗,无
外科,普通外科,"出生日注射一次卡介苗,结核菌试验是阳性还是阴",无
外科,普通外科,倒时差吃什么药,无
外科,普通外科,结肠癌是怎么引起的,结肠癌是由什么原因引起的？
外科,普通外科,拔罐的印记几天会消失？,无
外科,普通外科,小孩手脱皮摸什么药膏,我自己知道有这个毛病，已经很久了，有时候会很难受别扭，但是过一会就没事了，但是我想治疗了，但是不知道咋办呢，请问小孩手脱皮摸什么药膏
外科,普通外科,我想问一下，速脉好不好？,我想问一下，速脉好不好？
外科,普通外科,颌下淋巴结正常状况下能摸到吗,无
外科,普通外科,小孩淋巴结肿大该怎么办？,你好，给孩子体检的时候，淋巴结肿大，小孩淋巴结肿大，请医生给好的建议。
外科,普通外科,疝气不做手术能缓解吗?,我不了解小肠气不做手术能治好吗，身体情况比较复杂，就发现两侧腹的股沟六个月来发现鼓起，有不是很舒适的感觉。抽时间去一间医院做检查，大夫告知是小肠气。让手术治疗，怎么治疗？
外科,普通外科,碘131治疗后有什么症状,无
外科,普通外科,左侧耳后的淋巴结肿大会是黄口疮引来的吗,淋巴结肿大小孩左耳后起了个一厘米大小的疙瘩，(图稍加)轻按没疼痛感可以划动，不知晓什么长的昨天刚发觉，这是淋巴结肿大？会是淋巴瘤吗？十天前额头右侧起了个疙瘩(图三)，疼痛锈蚀面有液体淌出，确诊为黄口疮，现在黄口疮快好了…左侧耳后的淋巴结肿大会是黄口疮引来的吗？忧心是瘤什么的
外科,普通外科,关于有什么方法治疗？宫颈糜烂,人民医院
外科,普通外科,嘴唇脱皮是不是缺乏营养,嘴唇脱皮是缺乏营养吗还是有其他原因？
外科,普通外科,病毒性脑膜炎为什么头痛总是一阵一阵的,无
外科,普通外科,脸上顴骨部位和鼻子上长斑是什么原因导致的？请,无
外科,普通外科,"运动损伤的原因有哪些,如何预防",无
外科,普通外科,女性甲状腺一般该有什么症状,本人女47岁一直身体都挺好的，但是一去检查之后就有了异常，请问：女性甲状腺一般该有什么症状？
外科,普通外科,我耳朵后面靠近耳根的骨头上长了三个硬包，,我耳朵后面靠近耳根的骨头上长了三个硬包，有两个挨得近，轻压有轻微的疼痛感，但三个的疼痛程度不同，而且有时候会有一点点痒，但不是包，而是它的周边，感觉有一个还会移动位置但不明显，不知道是因为心理紧张还是真的移了。我想问问这是什么病？该怎么治疗？饮食应注意什么？
外科,普通外科,疝气手术后多久可以上班？,我今年35岁，腹沟股位置有一个小的包块，医院说可能要做一个疝气手术修补，这个疝气手术后多久可以上班？会不会耽搁我太多时间呢？
外科,普通外科,我得了那个右侧腹股沟斜疝。平时应该要,我得了那个右侧腹股沟斜疝。平时应该要注意什么？无
外科,普通外科,疝气后多久能吃东西？,我的上班就是做售后服务的，时常会受到一切无厘头的人来骚扰，生气时只能憋着，可这两天发现生殖器肿胀。抽时间去一家医院讲是小肠气，就做了小肠气修补术，请问一下小肠气后多久能吃东西？
外科,普通外科,精索积液影响生育吗？,最近总是肚子疼，去过很多医院，有的说是疝气，有的说是淋巴堵塞，请问精索积液影响生育吗？
外科,普通外科,门口发现手指般粗的蜈蚣怎么办,无
外科,普通外科,吃什么食物和水果可以促进伤口愈合和不留疤,无
外科,普通外科,咳嗽出血如何处理,今年初
外科,普通外科,手术后多久可以喝酒,我自己知道有这个毛病，已经很久了，有时候会很难受别扭，但是过一会就没事了，但是我想治疗了，但是不知道咋办呢，请问手术后多久可以喝酒
外科,普通外科,踩到钉子了用打破伤风针吗,10月4日因车祸，打了破伤风针。11月9日不小心才踩到钉子了，但伤口不深。请问还用在打破伤风针吗？？？谢谢  唉！！！真倒霉！！！！
外科,普通外科,体内有炎症是怎么治疗,无
外科,普通外科,一只脚肿是什么原因引起的,无
外科,普通外科,左脚红血肿有什么办法根源能治好？,因为他的脚发病了很久，没有根源治好这左脚。
外科,普通外科,肠系膜淋巴结炎的治疗办法及饮食注意事项,"我的孩子,女,7岁.自10月8号起,出现腹痛,呕吐症状.经医院彩超检查,是0.9*1.3肠系膜淋巴结一个.随即接受治疗.到现在一月有余,孩子现在[尤其是早晨]还有呕吐及腹痛症状.请问还需要进一步检查吗?这段时间孩子的饮食应注意些什么呢?我孩子从小体制弱经常感冒.平时食欲不好.现在体重22.5公斤.第一次问题补充:我的孩子今天有做的肝功及血清化验,均正常.还做了钡餐,结论是可能是12指肠溃疡.有建议"
外科,普通外科,出现腰痛是怎么回事,我婆婆最近老是腰痛，走路有时都要弯着腰走。她今年50出头，04年末或05年中就停止月经了。请问她这是怎么回事？平时应注意什么？
外科,普通外科,多发性羊羔疯有什么症状,无
外科,普通外科,包皮顽固水肿,隐藏阴茎，今年三月做完手术，现在有5个月了，龟头下部的包皮还是水肿，但不像刚开始术后那么硬，现在有点软，医生说这是顽固水肿，也许变这样，想咨询下有没有其他办法治疗这水肿
外科,普通外科,新生儿疝气是不是在娘胎里形成的吗？,我家宝宝已经出生半个月了，但是孩子这几天非常不该去医院检查，医生说是新生儿疝气，我想问新生儿疝气是在娘胎里形成的吗？
外科,普通外科,今天我突然腰特困感觉就像断了一样？请问原因是,无
外科,普通外科,两个月的宝宝疝气能做手术吗？,我家宝宝现在只有两个月，并且孩子在哭闹的时候就容易出现疝气，所以想要带宝宝到医院去进行治疗，两个月的宝宝出现疝气之后能够做手术吗？
外科,普通外科,原发性腹膜炎四肢内侧痒怎么处理,如何治疗原发性腹膜炎啊四肢内侧四肢内侧很痒该怎么办？
外科,普通外科,肝囊肿27X23需要动手术吗,体检发现肝左叶有27X23mm的囊性暗区
外科,普通外科,老人疝气什么原因引起的？,爹地今年70岁了，从来也没得过其他大一点的病，可是自从一年前十一月份，他的股沟却长出了一个类似肿瘤的东西，特别是在拿了重的东西以后，这个肿包就更大，讲是小肠气，老人小肠气什么病因引起的？
外科,普通外科,甲状腺结节伴钙化，一定要手术吗？,"
2014年去瑞金医院复查，结果：右侧甲状腺上极可见一个低回声，大小约11.6*8.6mm，形状不规则，内部回声欠均匀，边界尚清，内部见点状强回声，CDFI：可见少许血流信号。
"
外科,普通外科,面瘫的最佳治疗方法,无
外科,普通外科,结肠癌的晚期治疗方法有什么,结肠癌的晚期治疗方法主要有什么？
外科,普通外科,腰痛宁胶囊的效果好不好,药痛宁胶囊的效果如何？
外科,普通外科,疝气怎样预防..,疝气怎样预防
外科,普通外科,甲状腺结节能吃什么药,男64岁，在前40年做了一次甲状手术左面。现在右面又发生甲状腺结节，他60多了不做手术，能吃什么药
外科,普通外科,疝气最严重的后果是什么？,远房的亲人现如今已经是患有小肠气了，这些时日往往会感觉自己的下面不是很舒适了，往往会有肚子涨涨的感觉，而且现如今每次生气的时候都会出现一个包，想要咨询小肠气最严重的后果是什么？
外科,普通外科,腹外疝形成是什么病严重吗,最近总是肚子疼，去过很多医院，有的说是疝气，有的说是淋巴堵塞，请问腹外疝形成是什么病严重吗
外科,普通外科,两只胳膊大臂上部肌肉用力疼痛是怎么回事,两只胳膊大臂上部（肩关节下1寸左右)肌肉用力或者体位变化时疼痛，手压无疼痛感，影响穿衣服等日常活动。
外科,普通外科,白细胞减少会引起脾肿大吗,最近总是肚子疼，去过很多医院，有的说是疝气，有的说是淋巴堵塞，请问白细胞减少会引起脾肿大吗
外科,普通外科,打破伤风要多少钱啊？,无
外科,普通外科,脐疝的小儿推拿怎么治疗,脐疝的小儿推拿怎么治疗
外科,普通外科,小孩睡觉头部出汗是怎么回事,无
外科,普通外科,肚脐上方难受是怎么回事,无
外科,普通外科,男性腹股沟阵痛是怎么回事,无
外科,普通外科,瘘管手术后吃什么,无
外科,普通外科,腰痛颈部痛糖尿病该怎么治？,最近总是肚子疼，去过很多医院，有的说是疝气，有的说是淋巴堵塞，请问腰痛颈部痛糖尿病该怎么治？
外科,普通外科,体检化验尿酸高是怎么回事,无
外科,普通外科,怎样自我按摩前列腺炎的方法,尿完滴答，好像尿不尽1年多
外科,普通外科,如何缓解运动后的肌肉酸胀,无
外科,普通外科,宝宝疝气手术后易复发吗？,最近这几天我儿子由于疝气哭闹的有些厉害，本打算去做手术的，可婆婆说最好不要做手术，说手术后会容易复发，疝气手术后会复发的吗？
外科,普通外科,太阳穴及眼睛周围疼痛是怎么回事,无
外科,普通外科,打完钉后神经疼怎么办,打了叁天钉都在左手打现在左头皮和胳膊神精疼
外科,普通外科,腹股沟斜疝气，无张力疝修补术后，手术部位有胀,腹股沟斜疝，在当地医院做了无张力疝修补术，一直感觉手术部位不舒服，小腹部还有胀痛感
外科,普通外科,头里面天生囊肿有什么影响吗,无
外科,普通外科,患有多年的甲状腺病在生活上我们该注意什么？,您好，在几年前就有甲状腺疾病，最近去医院检查，发现了甲状腺肿大，轻轻按就会有点微疼，感觉是不是近期严重了，这个用不用进行手术切除呢，最近心里好压抑。
外科,普通外科,脖子上的淋巴平时可以摸到吗,无
外科,普通外科,打封闭后病情是否没有了,无
外科,普通外科,肠内疝是怎么回事？,最近觉得身体不舒服，我也没有太在意，后来单位组织员工进行体检，我被医生检查的时候，查出了有肠内疝，我想咨询一下肠内疝是怎么回事？
外科,普通外科,请问肚脐左侧疼痛怎么回事,肚子左侧一跑步就很疼，已经持续一两个月了，现在连走路也疼。不拉肚子，3天排一次。没有就医，不知道是什么病
外科,普通外科,我17岁腹股沟疝咋治疗效果好些,瞧见您说过通过增加腹部肌肉可以变好，是真的么，我17岁，年幼时就有了，当时没在乎，现在知道了，据说叫疝气，部位是右阴囊肿胀，较大，您好如何通过疝气带而且腹部肌肉增加等能解决腹股沟疝。
外科,普通外科,疝气内容物为网膜是什么？,我的邻居家的孩子右侧腹股沟斜疝，疝内容物为网膜，40X20平方毫米网膜回声，怎样治疗呢，我想了解一下，疝气内容物为网膜是什么？
外科,普通外科,肾疼和腰疼的区别都是什么,男今年22岁，我也不知道当初我为什么会有这个病，因为当初我也没去注意这件事，知道我身体不适的时候才去查身体，这病已经开始影响我的生活。请问：肾疼和腰疼的区别都是什么？
外科,普通外科,晚上睡觉老是做梦，一醒来手麻麻的，是不是是跟,晚上睡觉老是做梦，一醒来手麻麻的，是不是是跟干活太多有关。
外科,普通外科,为什么大腿一直在颤,无
外科,普通外科,肝癌肝硬化脾大吃什么药,一年肝癌肝硬化脾大
外科,普通外科,复发性腹股沟疝饮食注意怎么？,之前就总是感觉到身体非常虚弱，而且食欲变差了一些，之后去医院做了仔细检查说是腹股沟疝，现在有再次出现了这个情况感觉比之前严重了，求救复发性腹股沟疝饮食注意怎么？该如何调理？
外科,普通外科,婴儿脸上擦伤如何处理,无
外科,普通外科,女性右腰部疼痛,前些天诊断为黄体破裂，采用保守治疗，结果今天拿到体检报告，说我直接胆红素偏高，但总胆红素正常。这些天休息总感觉侧面右腰那就疼痛，和黄体破裂有关吗？直接胆红素偏高有关系吗？
外科,普通外科,急性睾丸炎多久可以治愈,无
外科,普通外科,八味锡类散和锡类散有什么区别吗疗效一样吗,无
外科,普通外科,割伤不能吃什么东西,我自己知道有这个毛病，已经很久了，有时候会很难受别扭，但是过一会就没事了，但是我想治疗了，但是不知道咋办呢，请问割伤不能吃什么东西
外科,普通外科,肛门湿走路痒是怎么了,最近总是肚子疼，去过很多医院，有的说是疝气，有的说是淋巴堵塞，请问肛门湿走路痒是怎么了
外科,普通外科,33岁，颏下淋巴结核，8天前手术切除,发现一个月，颏下肿物手术切除，病理诊断为（颏部肿物）肉芽肿性炎，并可见干酪样坏死，县级医院就诊
外科,普通外科,在低的地方坐的时间稍长阴部就会发麻是什么原因,无
外科,普通外科,睾丸还有腹股沟疼痛？,"曾经的治疗情况和效果：
睾丸还有腹股沟疼痛,睾丸偶尔疼痛，腹股沟疼痛的时候多，阴茎勃起之后感觉睾丸旁边有一个血管可能是输精管吧涨着疼，并且睾丸用手摸着好像下面多出一块来"
外科,普通外科,破伤风针应该在受伤后多久打,我自己知道有这个毛病，已经很久了，有时候会很难受别扭，但是过一会就没事了，但是我想治疗了，但是不知道咋办呢，请问破伤风针应该在受伤后多久打
外科,普通外科,巨脾症是怎么形成的,我感觉肚子疼痛，有时候吃完饭就开始胀气，然后一阵一阵的疼痛，十分钟就没什么事情了，我也不知道这个是怎么了，感觉特别难受啊，我也不知道是怎么了啊。
