department,dep,title,ask
外科,神经脑外科,拔牙会损伤神经吗,我有颗蛀牙，一开始没事最近吃东西不能着冷着热的，所以我决定拔了它。可是拔了以后，总感觉一边神经疼，而且记忆力还有些减退，难道拔牙影响了神经？
外科,神经脑外科,右锁骨骨折取钢板过程中二次骨折怎么办,你好，医生！我是2013.12右锁骨骨折，做了钢板固定手术，今年4.2日取钢板醫生把我右锁骨又弄成骨折了，用可思针固定了！我想问我这需要多长时间可以恢复，会不会以后影响工作生活?
外科,神经脑外科,中风偏瘫后遗症服用清血八味片能否得到改善呢,吞咽困难，左半边肢体麻木，双手无力，只能够做一些简单的动作，常流口水，嘴巴和眼睛歪斜，讲话的时候表达不清
外科,神经脑外科,因外伤导致腰椎中枢神经损伤,无
外科,神经脑外科,多发性脑梗塞应咋办?,脑内多发性脑梗塞叫基底动脉间综合评价证入院8天，用药中，现在经常头痛怎么办什么原因
外科,神经脑外科,脑梗塞有必要输液预防吗?,病情叙述头疼、头晕，有一年。并血压高。因外伤曾做过脾脏切除术
外科,神经脑外科,儿童脑瘫早期症状是哪些,孩子再次出现嚼和吞咽困难，淌口水，不追视。现在症状是左脚跟不着地，右手内收绝不会拿东西，一星期前在班上昏倒老帅说手脚有抽动。是脑瘫症状么在乎怎样的帮助：儿童脑瘫早期症状是哪些
外科,神经脑外科,请问脑萎缩治疗方法有哪些,爷爷已经很老了，最近他经常头胀痛，头昏。口服过中药，头痛转好，现在有头昏，医生说是脑萎缩，您好这是怎么回事？需要有怎么治疗？
外科,神经脑外科,运动神经元损伤的危害是什么？,我弟弟爱好体育，经常参加一些比较高危的活动，上周从高台掉下来，引发现在左脚行动不便，肌张力减低、局部姿势照射消失、下肢腱反射消失。?运动神经元损伤的危害是什么？
外科,神经脑外科,得了面肌痉挛现在针灸一天了想问问有什么好的方,得了面肌痉挛现在针灸一天了想问问有什么好的方法没有针灸会不会刺激到？
外科,神经脑外科,脑梗塞引起大夸疼痛吗?,"病发1年,原因是一侧手脚麻木,血压高150-170/80-90"
外科,神经脑外科,由癫痫引起的后遗症有哪些？,我同事的小孩才11岁就患癫痫，得了癫痫以后能遗留下后遗症吗？由癫痫引来的后遗症有哪些？
外科,神经脑外科,癫痫病有哪几种治疗方法,孩子晕倒之后一直在抽搐，我现在都是一直不知道应该怎么办的啊，我很着急的，该怎么治疗啊？
外科,神经脑外科,颞叶癫痫手术治疗后会有什么后遗症？,女，44岁，家里人突然出现了，流口水、头痛、呕吐，特别的吓人，别人都说是癫痫的症状，请问颞叶癫痫手术治疗后会有什么后遗症？
外科,神经脑外科,脑瘫痪的治疗方法有哪些的？,最近回老家看姥爷才知道，表弟身体不是很好的，一直出现无力及痉挛，下肢较上肢明显，无力首先累及内收肌的情况，医生说有可能是患了脑瘫，怎么办才呢？
外科,神经脑外科,脑出血患者大小便失禁该怎样护理,脑出血治疗后左腿能动但是下不了地，大小便没有感觉，处于失禁状态，现在正下着尿管，怎样才能让老人恢复正常大小便
外科,神经脑外科,满月的孩子做脑ct对大脑发育影响大吗？,因为早产，担心孩子的发育情况不好，就去医院，医生建议作脑ct，孩子吃睡玩都正常，我在犹豫做不做？请问各位专家，听说ct辐射量很大，孩子这么小，做了以后会不会有什么后遗症？
外科,神经脑外科,锁骨骨折后留下的钢板，经多长时间取出最佳,医生你好，我今年19，两年前的一次意外导致左锁骨断裂，之后做了手术，被固定钢板。到目前为止，钢板在体内已有两年了，因为一直比较忙，没有时间取出，身体也没什么不适。我想问下，钢板在体内时间长了，会有哪些后果。今年过年再取，算晚吗？锁骨骨折的人平时都应注意些什么呢，谢谢
外科,神经脑外科,请问得了这个病还有医治嘛,发病我不知道
外科,神经脑外科,癫痫发病是有哪几大病因呢？,今年22岁，女性，癫痫发作一般在晚上十点左右，症状为抽动和干呕。以前都是吃药抑制治疗，但近期有发作了，请问癫痫发病是有哪几大病因呢？
外科,神经脑外科,癫痫孕妇失眠多梦怎么办,无
外科,神经脑外科,腔隙性脑梗塞是什么病,60岁的亲戚患上了腔隙性脑梗塞，准本帮他买许多药，您好什么药物能有效救治腔隙性脑梗塞?
外科,神经脑外科,头疼时从外边按会疼吗,左边头会时不时的疼，并且从外边按按也会疼
外科,神经脑外科,急性脑梗塞咋治疗呢?,我的身体比较肥胖，血压有点偏高，但有在吃降血压药，前两天在睡午觉的时候，突然感觉到胸口好闷，好像透不过来，想吞口水很难，头脑晕晕的，想讲话，又很难开嘴，后来老婆叫镇上的医生过来帮我仔细检查，医生说是急性脑梗塞。
外科,神经脑外科,癫痫病对人们的健康带来了什么危害？,癫痫病往往会忽然发作，没有如何前兆，每次发作都会给癫痫患者带来不小的危害，癫痫病对人们的健康带来了什么危害？
外科,神经脑外科,老人小脑萎缩怎么办呢？,老人小脑萎缩怎么办，怎么治疗小脑萎缩才是最好的，用什么方法救治？
外科,神经脑外科,帕金森综合证是什么原因,我男友的父亲45岁得了帕金森综合证，而男友的伯伯是在四十岁左右因饮酒过度得小脑萎缩死的。请问我男友会不会在老年后得精神方面的病
外科,神经脑外科,轻度脑瘫的治疗方法,无
外科,神经脑外科,脑中风能不能治疗好？,"我朋友长辈68岁，男得了中风后性情大变,有时问什么都说不知晓,有时又好象什么都挺清楚,常疑神疑鬼,无理取闹,请问脑中风能不能治疗好？"
外科,神经脑外科,脑性瘫痪脑瘫可以治好吗?,出生时。脑出血，缺氧现三岁，能读力穿行，其它正常，能交流，答话清楚，就是左脚跟不着地，容易摔。做过脑核磁振，还没有用过药与治疗。在乎怎样的帮助：脑性瘫痪脑瘫可以治好吗?
外科,神经脑外科,西安治癫痫病医院哪个正规,早上起来之后就发现头不舒服，然后突然间就倒地了
外科,神经脑外科,脑瘫儿童都有哪些表现呢？,同事的女儿一岁了，但是表现有点不对，不会自己吃饭咀嚼，还不会走路，有时候拳头紧握，生气的时候用拳头使劲打自己的头，教她走路，她步态很不稳，走不好，感觉腿很没有力气。
外科,神经脑外科,缺氧缺血性脑病的婴儿有什么反应？,出生22天发现手脚阵发性抖动，入院检查核磁共振确诊缺氧，肝功受损，做高压氧10天，输液数天，打硫酸镁针剂，出院一周后还是出现抖动现象，做视频脑电图结果未发现癫痫症状。
外科,神经脑外科,有了脑梗塞应该怎么样治疗好？,父亲最近体检时被确诊为患有脑梗塞，全家都很忧心，请问医生，有了脑梗塞应该怎么样治疗好？
外科,神经脑外科,脑梗塞什么情况下需要手术治疗,男今年50最近因为突发性脑梗住院治疗的，我担心以后还会再病发，请问我想知道脑梗塞什么情况下需要手术治疗？
外科,神经脑外科,脑中风留下了后遗症怎么办,发生的时间是晚上11点30分钟。
外科,神经脑外科,煤气中毒昏迷不醒15天是否成植物人？,我男朋友前几天在家睡觉，煤气中毒了。从送去医院治疗开始算起都已近15天没醒过来了，听朋友说是不是超过十五天没醒过来就会变成植物人再也醒不过啦了啊?煤气中毒对身体的损害是永久的么，所谓用就是不是就是无法恢复的变成了植物人？
外科,神经脑外科,脑血栓手脚都不能动了,2011年5月3号
外科,神经脑外科,脑供血不足，该怎么改善？？,无
外科,神经脑外科,小脑梗塞与梗死有什么区别谁严重,无
外科,神经脑外科,三叉神经痛手术多少钱？,我被诊断为三叉神经痛，所以现在准本实施手术了。您好实施三叉神经痛手术多少钱呢？
外科,神经脑外科,我爸脑溢血偏瘫，走不了路，进行什么治疗可以走,2008年，走不了路，
外科,神经脑外科,肢体运动障碍康复可以治疗脑瘫吗,脑瘫
外科,神经脑外科,患脑炎后遗症的可能性大吗,我差不多5岁发病，现在26岁。主要四肢无力，手脚畸形，脚马蹄内翻，脚趾动不了，手腕处也开始无力，打字基本靠一根手指，脚还可以动但无法站立和行走。
外科,神经脑外科,得了脑瘫还可以要孩子吗？,脑瘫应该是在一岁的时候有发现 都是那时候家庭条件实在不行 现在9岁了还不会走路也不会站。
外科,神经脑外科,想知道脑供血不足怎么处理好？,无
外科,神经脑外科,脑梗的早期症状是什么啊？,我丈夫从今年年初已经开始，就会有的时候会出现异常状况，会突然说不出话来，很困难的那种，有点结巴，还会再次出现口歪眼斜现象，手脚会不自觉地发颤抽动，听朋友说这是脑梗，我不相信，脑梗的早期症状有哪些啊？
外科,神经脑外科,请问出现三叉神经痛用什么药物或者别的治疗方法,请问出现三叉神经痛用什么药物或者别的治疗方法？
外科,神经脑外科,脑梗塞能不能引起一直呕吐吃不了东西,身边有个朋友最近一直喊头疼而且有时候会抽风，也不想去医院检查，请问脑梗塞能不能引起一直呕吐吃不了东西
外科,神经脑外科,帕金森病有什么注意事项呢,"我爷爷今年72岁了,得了帕金森病已经5、6年,平时的时候都不能自己吃晚饭,天天的手脚发颤,什么事也做不了,全靠别人帮着,看见他这样.我的心里也很不好受。在乎怎样的帮助：帕金森病有什么注意事项呢"
外科,神经脑外科,老人得了脑梗脑该怎么护理？,脑梗到底该怎么办？这个事情真的很烦人，因为爸爸得了这个病，家里人又不敢掏钱给他医病，据说这个花费是挺大的，我想问一下，除了手术之外，除了没其他的途径可以治疗的呢？
外科,神经脑外科,脑外伤出院可以做哪些康复训练,脑外伤车祸3月15日晚，出院后做事迷迷糊糊，中心医院
外科,神经脑外科,小孩头部发育是否正常,余大夫:新年好，我想咨询一个问题，我家男孩2个月了，就是白天睡眠不好，一般睡了5-10分钟就醒了，晚上20:30-早上8:30就醒了（包括喂奶时间）现在也会笑了，还可以把尿，请问孩子大脑发育是否正常？
