department,dep,title,ask
妇产科,产科,妇科检查都有些什么项目多少钱？,最近我子宫不是很舒服，准备去做个妇科检查，妇科检查有哪些项目多少钱？
妇产科,产科,生完宝宝之后腰痛怎么回事？,生完宝宝后腰的中间的那条骨轻轻的碰上了许多硬的东西都会疼的入心有时候帮宝宝洗完澡弯身帮穿个衣服一挺腰也疼是怎么回事？
妇产科,产科,顺产还是剖腹产哪个好？,我在03年12月剖腹产生的第一胎，现在怀上了，第二胎是不是必须要剖腹产，可不可以决定顺产？在乎怎样的帮助：第二胎是不是必须要剖腹产，可不可以决定顺产？
妇产科,产科,胎盘突然老化有什么反映,无
妇产科,产科,怀孕肚子疼正常吗？,我老婆现在怀孕3个月了，最近经常感觉小肚子隐痛，也不是很厉害，就是每天偶尔疼个一两下，一会就过去，去医院检查，B超显示胎儿发育正常，没有什么问题，是正常的生理现象，让平时注意休息就行了。想得到怎样的帮助:怀孕肚子疼正常吗？
妇产科,产科,坐月子感冒了能喝鸡汤吗,无
妇产科,产科,孕期肾积水对胎儿有影响吗,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问孕期肾积水对胎儿有影响吗
妇产科,产科,胎停育直接清宫吗，可以做无痛吗？,各位医生好，今天去医院检查已经胎停育了，医生让我明天住院，我想问下胎停育是不是就直接清宫，是不是不可以做无痛呀？我比较怕疼/。。
妇产科,产科,我手上有出血伤口有手刺会不会破伤风？,我手上有破皮伤口，有手刺（很小很痛，有的撕了皮，有的没，不知晓会不会致使无氧环境），碰上了暖宝宝里面泼出来的铁锈，还碰上了铁凳上的铁锈（好些），会不会得破伤风，后来擦了屁股，有痔疮，不知晓穿了厚衣服再坐在凳子上是不是无氧环境，会不会得破伤风，如果吃了铁锈，嘴里有伤口，喉咙有伤口，会不会得破伤风 
妇产科,产科,顺产好还是剖腹产比较好呢,本人预产期6月8号，已经过了6天了，6月10号照的B超双顶径97MM，头围348MM，腹围338MM，股骨径69MM，医生让我回家等有动静了再来，我怕宝宝太大不好顺产，朋友建议我剖腹产，我还拿不定主意，请给点建议，医生还说宝宝腿有点短会不会影响以后个子？
妇产科,产科,妊娠高血压生第二胎还会高吗,女今年23岁，一段时间感觉到身体很累，去医院检查就知道得病了，请问：妊娠高血压生第二胎还会高吗？
妇产科,产科,胡椒回奶还是下奶,本人23岁，前不久刚刚生完孩子，因为我比较瘦弱吧，奶水也不太够，妈妈就说让我去多吃些补奶水的东西，我也没有经验，请问胡椒催奶还是回奶?
妇产科,产科,怀孕三个月了宝宝是六厘米和七厘米发育的怎么样,无
妇产科,产科,康妇消炎栓用后可以喂奶吗,无
妇产科,产科,和女朋友穿着内裤射精了，会怀孕么？,和女朋友穿着内裤射精了，会怀孕么？
妇产科,产科,怀孕三个月了有先兆流产迹象怎么办合适,女今年31岁，得病后，吃药也没有什么效果，还是不舒服，请问：怀孕三个月了有先兆流产迹象怎么办合适
妇产科,产科,哺乳期吃驴肉回奶吗,我女性23岁，自从生了孩子以后都是用母乳喂养的。所以想了解一下，哺乳期吃驴肉回奶吗
妇产科,产科,怀孕26周破水能保住吗,患者女，28岁，我的一个朋友，她的身体从小就比较虚弱，在怀孕26周的时候，突然破水了，但是她特别希望能够保住宝宝，所以想了解一下怀孕26周破水能保住吗？
妇产科,产科,受精卵着床后的症状有哪些？,我现在还根本没想过要孩子，可是半个月前我的男朋友跟我上床了。最近我总是有恶心干呕的症状，我跟他说了之后，他说我可能是怀孕了。我说我会把孩子打掉。想得到怎样的帮助:受精卵着床后的症状有哪些？
妇产科,产科,如何检查能否怀孕,无
妇产科,产科,畸胎瘤对胎儿有影响吗？需要注意什么？,我怀上有13周的时间了，去医院做B超仔细检查发觉子宫内有畸胎瘤，这种畸胎瘤对胎儿的生长发育会有影响吗，如果想要孩子需要有留意什么？ 在乎怎样的帮助：畸胎瘤对胎儿有影响吗？
妇产科,产科,如何判断是否会怀孕,"我10月21日来月经,月末发生性行为并吃了避孕药,上月12日来月经,这个月到现时还没有来月经,但这段时间我并没有发生性行为,请问会否怀孕?"
妇产科,产科,前庭大腺囊肿手术后多久痊愈,请问做了前庭大腺囊肿手术，大约多长时间才能过性生活？
妇产科,产科,顺产或剖腹产签字单上有人流史吗,顺产或剖腹产盖章单上会不会展现之前的人流史啊，或是医生会不会问我老公，我之前谈过个男朋友人流过一次，不想让老公知晓！怀上建档的时候跟医生说了真话但是建档这些男的都不让进他也看不见！就是不知晓住院或是顺产剖腹产会不会医生跟我老公说这些啊，，，
妇产科,产科,怀孕能吃醋和臭豆腐吗,请问怀孕能吃醋和臭豆腐吗
妇产科,产科,b超检查胎儿体重准吗,无
妇产科,产科,从怀孕宫腔内一直有积液怎么办?,从怀上宫腔内一直有积液，阴道没破皮，小腹有时轻微痛，周围仔细检查积液是23*14，10周仔细检查积液是31*8，从数据来看，积液范围是随着宝宝减小了吗?这一直也吃着保胎药打黄体酮且天天卧床歇息，仔细检查宝宝长得很好，除了两周就顺利过完三个月了，若积液一直不消失会有影响吗?今夜到底是什么呀？是由炎症引来的吗？是不是吃闹肚子的东西。 
妇产科,产科,胎儿16周超声能不能看出性别,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问胎儿16周超声能不能看出性别
妇产科,产科,哺乳期什么时候可以吃凉的,无
妇产科,产科,妇科体检有哪些项目费用大概多少钱,无
妇产科,产科,剖腹产后第四周恶露是暗红色正常吗,"我是名剖腹产的产妇现在得24天了,母乳很量少.很少哺乳,阴道除了极少量暗红色的恶露流出的,是不是很不正常?有什么问题吗?该怎么办?"
妇产科,产科,怀孕问题急求问,我的女友的月经巳经迟来十三、十四天了，我用了大卫早早孕试纸验了，只有一条线，请问，我该怎么办？？
妇产科,产科,药流清宫后多久才能在要孩子呢,后发现时死胎，之后做的药流后清宫，清宫后一个月发现右附件囊肿，并患有阴道炎。曾经治疗情况和效果:吃了消炎药，并且使用?纫跤靡??背Ω?┙?兄瘟葡氲玫皆跹?陌镏?我想知道要过多久才可以要小孩，医生说是要半年，请问还可以在早吗？因为我怕一系列的病会引起不孕，可以把炎症消除后，就要吗？
妇产科,产科,做完月子八十天手指关节疼是怎么回事,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问做完月子八十天手指关节疼是怎么回事
妇产科,产科,月经后的第七天没体内射精会怀孕吗,"您好:
   我想问您好一个问题，在我女朋友走月经的第七天，我把阴茎插进去了一半，只是想把她的处女膜弄破，所以没有采取任何避孕措施，也未在体内射精，问会不会她不会怀孕？早上小便过后这样做的，尿液里会有精子进去了吗？期盼您好的答案，非常感谢！"
妇产科,产科,生完孩子阴道很难看怎么办,无
妇产科,产科,怀孕11周怎么知道宝宝健康呢？,无
妇产科,产科,孕检有孕囊，未见胚芽,怀孕48天的时候做了个B超，有孕囊，未见胚芽，但查优生四项，孕酮，HCG都好着，
妇产科,产科,产检通常都什么时候做,"[病情描述:为了省回一些产前检查的项目检验费用,我等到我的生育保险绿卡办到(就是买够一年生育保险就可以享受生育的各种待遇，如:免掉检查费用)才到医院做各项检查。但之前我有定期到医院进行产检,如一般的检查(体重、血压、宫高、腹围等等），还有就是已按时间的范围检查了唐氏筛查，但其它验血之类的检验项目就等那绿卡到了才验，请问医生我怀孕25周（绿卡办到时）才检查那些项目会不会有什么影响吗？会不会太迟了呢？"
妇产科,产科,胎儿胃和膀胱在三个半月大的时候是什么形态,无
妇产科,产科,妇科检查哪个医院检查详细？,最近我身体不太舒服，想去医院看一下妇科病，您好医生，妇科检查哪个医院好?
妇产科,产科,奶水出不来堵塞怎么办,乳腺不通，奶水出不来该怎么办，乳房胀痛，用了很多办法都没有什么效果。
妇产科,产科,断码涨奶可以让老公吸吗,产后要是女性持续性涨奶，并且有硬块出现还伴有刺痛感时，很可能是腺管堵塞了，我哺乳到九个月的时候，就遭遇到乳房胀痛奶老公可以帮着吸吗？
妇产科,产科,怀孕期间早上能打48式太极拳吗,盼回复！您好！医生，请问在怀孕早期、中期、晚期的早上或晚上能打48式太极拳吗？如不行，请问做什么运动比较合适，谢谢！
妇产科,产科,请问rh阴性血能生二胎吗,无
妇产科,产科,胚胎怎么区分好坏,无
妇产科,产科,产妇做完月子能上班吗,无
妇产科,产科,38周做什么产检？,医生我怀上到38周了，要去产检，我想提早知晓38周做什么产检？
妇产科,产科,"刚出月子,老公经常用手刺激我的阴蒂,这样好吗",无
妇产科,产科,夫妻想要备孕应该注意什么,急问！想怀孕还有问题！选择最佳答案后再补充问题是否专家看不到？请问:我上次10月13日来月经，到12月3日才又来月经（以往周期在26天左右，没出现过此情况）。且这次来月经，没有以往乳房涨等征兆，反而觉得乳房变小、变软。没来月经期间着急，医生让做内分泌检查，结果下周取。问:还需要去医院吗？我34岁，现在想要孩子。下一步我和老公该注意什么？他应戒烟酒多久才能要孩子？准备期间，能喝少量干红吗？是否滴酒
妇产科,产科,月经来了可以证明没有怀孕吗,我第一次，最多 2 3 分钟就射咯。但后来最咯10来次``怎么还是很快就射咯，这和我以前的长期自卫有关系吗？
妇产科,产科,缩阴药物都有哪些,女，40岁，我是2年前生的二胎，可能年龄大了，生完阴道就变得很松，请问缩阴药物都有哪些
妇产科,产科,怀孕后尿尿频繁怎么解决,怀上5个月。尿尿频繁。致使尿尿两边的皮上起了像湿疹一样的东西。一热就挺痒的。可以用盐水洗个吗。对宝宝可有干扰。需要有去医院仔细检查吗。阴道里面都正常。就是尿尿的两边的外面的皮上痒。 
妇产科,产科,调经后多久才能怀孕,"我10月21日来的月经,但在11月份没有来,直到12月2日才来,停了10天的月经,现在医生给我开了一些调经的药,如果以后月经正常了,那能否怀孕了,吃了这些药要隔多久才可能怀孕了?会不会有什么影响的??第一次问题补充:因为现在冬天来了,我的头发比较乱一点,所以想去拉直发,不知道拉了直发过多久才可以怀孕比较好了?"
妇产科,产科,血糖对胎儿有哪些影响,"不好意思，自从我怀孕来就一直麻烦您们！
这次我有遇到一个新问题，昨天去医院抽血糖捡查，高出了一点。结果是8.09,不知道是不是对胎儿有影响,要怎样做才好呀."
妇产科,产科,请问羊水穿刺结果怎么看婴儿性别？,"因怀孕初期曾服用过司帕沙星（孕妇禁用）共同18颗,在18周时做了羊水穿刺,今天结果出来,但主诊医生没上班,想请专家帮我解读羊水穿刺结果,结果如下:染色体核型:46,XY,14ps+(分析画出3个G显带核型,计数20个分裂相.）谢谢!"
妇产科,产科,出现了先兆性流产怎么办？,求救一下各位医生朋友，我的同事怀孕了，但是之前不知晓，就一直在工作，因为我们的工作强度比较高，会经常在市场上跑，比较累，她现在怀孕35天.先兆性流产了，都很忧心，应当怎样办啊？
妇产科,产科,哺乳期睡觉压着乳房，现在一侧乳房奶水很少怎么,哺乳期睡觉压着乳房，现在一侧乳房奶水很少怎么办
妇产科,产科,产检怎么建卡？,我老婆现在怀孕三个月了，她准备到医院去建卡，您好产检怎么建卡呢？
妇产科,产科,母乳100毫升是多少克,对于母乳中具体的营养成分，并不是特别的清楚和了解，那么，100毫升母乳含多少钙？
妇产科,产科,尿检呈弱阳性B超未见妊娠瓤是怀孕了吗,"尿检呈弱阳性做过药流感觉没有东西出来，当天做了彩超没有妊娠瓤，一个星期后再做彩超一样的结果，现在已经两个星期了，尿检还是显弱阳，这是怎么回事呀？
第一次问题补充:停经后35天左右做的早早孕检查第二次问题补充:更正刚才的答案，我是停经后30天检查的，35天服用含珠停，二天后服用第二次，当天没感觉有东西排出，下午做的彩超，医生说没有妊娠瓤。"
妇产科,产科,生娃娃多久可以同房,无
妇产科,产科,染色体易位可以要孩子吗,"病情描述:请问男性染色体检查结果为:46，XY,t(6;12)(q24;p13)可以要宝宝吗？怀健康宝宝的几率是多少？曾经治疗情况和效果:没有治疗过想得到怎样的帮助:请大夫帮我做专业的分析"
妇产科,产科,哺乳期吃面条回奶吗,我女性23岁，自从生了孩子以后都是用母乳喂养的。所以想了解一下，哺乳期吃面条回奶吗
妇产科,产科,吞了精子之后胃里有什么反应,我不小心吃了男生的精子，我有点害怕，怕会怀孕，吞了精子之后胃里有什么反应？
妇产科,产科,妊娠糖尿病应当怎么控制,怀孕24周做糖耐，发现空腹以及1个小时和2个小时的血糖都很高，已经可以被确诊为妊娠期糖尿病，我现在很担心我影响到我的孩子，请问：妊娠糖尿病应当怎么控制
妇产科,产科,产后胳膊疼腰疼怎么救治疗比较好的快点,37女较近比较疲惫，身体有感觉到了不健康，会是得这个病了吗，请问：产后胳膊疼腰疼怎么救治疗比较好的快点
妇产科,产科,中医治疗产后风湿好的方法有什么,我很年轻，可是，就患风湿病了，到夏天的时候还好许多，特别是到冬天的时候，疼的很厉害，不走路的时候，还好许多，一走路的时候，就疼痛的厉害，使我很不方便，也给我的生活带给了很大的压力。想您好风湿病怎么治疗?中医有什么办法治疗好。
妇产科,产科,羊水偏多有什么危害，要注意什么,孕32周，医生说羊水偏多，严重吗，平时需要有留意什么？什么能吃什么不能够吃，怎样能稳定？宝宝情况好吗？ 
妇产科,产科,怀孕后检查羊水少，六个月了怎么办,扬水少咋办请医生作出个节伦好吗在这期间怎么宝样好啊 曾经的救治情况和效果：没救治过在乎怎样的协助：看一看有法治吗
妇产科,产科,剖腹产后可以吃米酒炖核桃吗?,我前两天刚做了剖腹产生下我的第一个宝宝，今天早上的时候，我的婆婆给我煮了许多米酒炖核桃给我，但是我有点忧心破腹产后不能够乱吃东西，想剖腹产后可以吃米酒炖核桃吗？
妇产科,产科,做清宫手术后多久可以要小孩,无
妇产科,产科,怀孕偶尔感到肚子疼正常吗,隐隐地疼，时间很短，
妇产科,产科,骶髂关节炎能剖腹产吗,"病发时间及本人06年腰背部疼痛有晨僵,运动后转好,经一些次仔细检查为患骶髂关节炎，想咨询一下骶髂关节炎能剖腹产吗？"
妇产科,产科,吃了感冒药对胎儿有影响吗,10月15号来月经28号走，11月29号感冒吃了利巴韦林1天半12月1号用测试纸测出怀孕小孩能不能要
妇产科,产科,怀孕手肿是怎么回事,从开始怀孕到现在已经四五个月了，妊娠期的反应也过去了，现在几天好不容易可以多吃点饭了，却发现自己的手肿了，拿东西的时候感觉尤其的费劲，尤其在早上的时候特别的难后，晚上还感觉影响睡眠。想得到怎样的帮助：怀孕手肿怎么办？
妇产科,产科,做完输卵管手术多久可以怀孕？,做完输卵管手术多长时间可以怀上？最近以为仔细检查发觉输卵管堵塞，医生说需要有实施手术治疗。
妇产科,产科,刚刚怀孕会腰疼吗,刚刚怀孕会腰疼吗
妇产科,产科,怀孕2个月肚子疼怎么回事？,了今天早上醒来感觉胃胀肚子有点疼后来发现阴道有少量出血现象请问是怎么回事？之前也没有同房，剧烈运动等，也没有妊娠反应。想得到怎样的帮助：胎儿会不会有问题
妇产科,产科,要面临流产怎么办？,"医生您好！我是10月31日的月经（我的周期一般是25天左右），11月12日排卵（B超做出）。11月25日半夜阴道里有浅褐色分泌物流出，到26日半夜干净了，一直到现在都没有。今天早晨去医院做的血B-HCG，结果是477.1。医生说数值太低了吃保胎药也没有用，让我等到12月10日再去医院做彩超看一下！说如果不行的话，就要流产！ 
现在我都急死了，一定要流产吗？"
妇产科,产科,产后瘀血不干净会影响奶水质量吗,无
妇产科,产科,孩子吃奶后乳头出血结痂要如何解决,"宝宝吃奶乳头破皮后结痂病发时间:9月中旬已经开始化验仔细检查结果:没做过有关化验 曾经的救治情况和效果：昨天我和宝宝去做产后检查,医生看了乳头上的血痂,很吃惊,那个医生挺老的,不像是没经验的医生"
妇产科,产科,8月引产的10月又怀孕了怎么办？,我朋友8月引产的10月又怀孕了（按说不能这么快再怀孕的）她能留下她的孩子吗？第一次问题补充:请问:一般会有什么不利于胎儿或母体的影响？
妇产科,产科,怀孕三个月时用吃叶酸吗？,怀上三个月时用吃叶酸吗？有人说吃多叶酸会对孩子不好，这是真的吗？如果对孩子好，应当选哪种叶酸？谢谢? 
