department,dep,title,ask
妇产科,产科,孕40天可以坐飞机吗,怀孕期间总是特别难受，而且孕吐也是非常厉害，请问孕40天可以坐飞机吗
妇产科,产科,剖腹产后多久可以喝米酒水?,我的女朋友刚刚做了剖宫产，我女朋友怀上之前就很喜欢喝米酒，现在刚做剖腹产还是禁不住要喝，剖腹产后多长时间可以喝米酒水？
妇产科,产科,临产前宫缩是什么感觉？,预产期还有十天，而且听很多的朋友说预产期并不是确切的，这两天我总是会感觉到子宫在收缩，而且会出现紧致的感觉，也没有出血的情况出血，就是感觉腹部很不舒服，时不时还会出现胎动。想得到怎样的帮助:临产前宫缩是什么感觉？
妇产科,产科,怀孕吃金鸡片药物怎么处理,"大夫你好？
　　我爱人在怀孕时服用了药物，具体如下十月六号末次月经，十一月八号测试未孕，十一月二十三号开始服用金鸡片６片＊三次＊天，花红片４片＊三次＊天，共服了四天，药物成分以下:花红片:一点红，白花蛇舌草，地桃花，白背桐，桃金娘娘，菥，鸡血藤。金鸡片:金樱根，鸡血藤，千斤拔，功劳木，两面针，穿心莲，辅料为蔗糖，滑石粉，硬脂酸镁，食用柠檬黄色素．二十八号测试怀孕停药．
　"
妇产科,产科,先兆流产可以吃红枣吗,平时我基本每天都有吃红枣，腿间破皮，量少。去医院仔细检查了下，医生说是先兆流产，先兆流产可以吃红枣吗？
妇产科,产科,怀孕7个月头晕差点摔跤是怎么回事,我已经怀上有七个月了，但是最近这几天也不知晓是怎么回事我经常会感觉头晕，请问怀孕7个月头晕差点摔跤是怎么回事
妇产科,产科,怀孕初期有妇科炎症塞药会影响胎儿吗？,也有在备孕，之前几天妇科有点炎症，有点痒和异物，我塞了三支之前医生配给我的双唑泰软膏，但是现在月经晚来了几天如果真的怀孕了，用这个药会影响胎儿吗？:
妇产科,产科,怀孕五个月胃胀是怎么回事,无
妇产科,产科,平时很少散步能顺产吗,无
妇产科,产科,剖腹产膀胱粘连药注意什么？,去医院剖腹产以后膀胱黏连的症状不知晓是怎样的，有谁知道什么是剖腹产膀胱黏连症状？
妇产科,产科,怀孕45天想做人流可以吗,女32岁精神状态最近不是很好，也不知道怎么回事，请问：怀孕45天想做人流可以吗？
妇产科,产科,怀孕三个月了有先兆流产迹象怎么办合适,女今年31岁，得病后，吃药也没有什么效果，还是不舒服，请问：怀孕三个月了有先兆流产迹象怎么办合适
妇产科,产科,"刚满月哺乳期大人发烧了,宝宝吃奶会发烧吗",无
妇产科,产科,羊水穿刺检查结果异常,现孕5个月22号染色体长
妇产科,产科,产后两个月出远门肚子就疼是为什么,怀孕期间总是特别难受，而且孕吐也是非常厉害，请问产后两个月出远门肚子就疼是为什么
妇产科,产科,怀孕头三个月能用电脑吗？,怀孕头三个月能否用电脑？如果用了，后果会很严重吗？
妇产科,产科,输卵管不通做哪些检查,输卵管不通做什么仔细检查？想知道下什么原因引来的输卵管不通，我不知晓我是不是这个病的，我现在是结婚后，还没有怀上孩子，所以想知道下应当怎么办，听别人说需要有仔细检查输卵管是吗？ 在乎怎样的帮助：输卵管不通做什么仔细检查
妇产科,产科,怀孕32周做四维多钱要提前预约吗,怀孕期间总是特别难受，而且孕吐也是非常厉害，请问怀孕32周做四维多钱要提前预约吗
妇产科,产科,子宫鞍马状怀孕几率高吗？怀孕后会不会影响胎儿,子宫鞍马状怀孕几率高吗？怀孕后会不会影响胎儿发育呢！
妇产科,产科,胎停吃中药调理有用吗？,胎停吃中药调理有用吗？一般需要有调养多长时间身体才会彻底恢复跟之前一样呢？
妇产科,产科,怀孕6个半月杀牙神经对胎儿有影响吗,两天
妇产科,产科,先兆性流产对身体伤害有多大?,有点先兆性流产，下边有点出血。
妇产科,产科,生了女孩胎盘怎么处理,女，28岁，姐姐现在生孩子在医院，生了一个女孩儿特别的漂亮。可是生过孩子之后的胎盘一直都没有处理的方法，所以现在就想请问一下。女孩儿胎盘怎么处理？
妇产科,产科,药物流产能进行母乳喂养吗？,药物流产能进行母乳喂养吗孩子的这种情况有一段时间，不敢给吃药，请医生给个建议。
妇产科,产科,剖腹产后第一次来月经干净了几天身上又有血,剖腹产后第一次来月经干净了几天身上又有血小便的时候才有而且尿尿会痛
妇产科,产科,怀孕入盆同房会畸形吗,我在怀孕7个多月的时候，孩子都已经入盆了，但是现在我有新生活，挺担心孩子的健康，所以想了解一下宝宝入盆了同房对宝宝的影响是什么呢？
妇产科,产科,顺产生完孩子多长时间可以恢复性生活,顺产侧切生完孩子多长时间可以恢复性生活?
妇产科,产科,如何防止胎儿畸形,如何防止胎儿畸形？
妇产科,产科,预产期到了怎么快点生,我已经到了预产期了，可是丝毫没有要生的迹象，这几天肚子经常发硬，但是没有不舒服的感觉，今天做检查，一切都是正常的，大夫让我回家等，我还真挺着急的，怕过的时间太长对宝宝有影响。想得到怎样的帮助:预产期到了怎样快点生？
妇产科,产科,什么体质会很难怀孕,"睾酮和硫酸脱氢表雄酮偏高是不是以后会很难怀上？？这个月月经推迟了好久，上周去做了B超,月经来的第三天又去查了激素六项，结果有好几项数据偏高，这是不是就是多囊卵巢综合征了啊？以后会很难怀上小孩吗？ "
妇产科,产科,三尖瓣中度返流变轻度会影响宝宝吗,我有三尖瓣中度返流，昨天仔细检查变作轻度返流了，我一直挺忧心这件事的，这个是我2017年12月仔细检查出的的，我一直没看，到今年三月份才复检，我不知晓会不会干扰宝宝 
妇产科,产科,怀孕了不结婚可以生小孩吗,我在医院检查已经怀孕了，但是现在我和我男友还没有结婚，我想提前将我的孩子生下来，又担心这样会有一些影响，不结婚可以生孩子吗？
妇产科,产科,医生你好，我妻子怀孕35周发现血压好，医生建,无
妇产科,产科,怀孕感冒咳嗽怎么处理好？,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问怀孕感冒咳嗽怎么处理好？
