department,finaly_result1,finaly_result2,dep,title,ask
妇产科,产科,妇产科,产科,关于产后风的症状有哪些,产后风的症状是什么？剖腹产一个多月后，我的手发烫发烫发烫，有时有轻微的麻脆感，手、脚、腿干燥，有时有长时间的姿势，有点麻脆感，运动时没麻脆感，冷而无疼痛感。风过大，不知晓抱孩子还是产后风过大，手腕、手臂和肩膀肌腱酸酸。疼痛，揉得好些了，我们怎么方才能推测产后如何刮风呢？产后风的症状是什么？谢谢您。
妇产科,产科,妇产科,产科,怀孕22周要查什么,怀孕期间总是特别难受，而且孕吐也是非常厉害，请问怀孕22周要查什么
妇产科,计划生育,妇产科,产科,做那海扶可以怀孕吗,做那海扶好长时间可以过性生活，做那海扶子宫是不是好的呀。可不可以怀上的，做海扶不要怀上又不带套过性生活，意思是做海扶不要孩子是不是有几种行为 
妇产科,妇产科,妇产科,产科,在怀孕9个月零3天时小腹下边出现微微的涨怎么,时零3天时有轻微涨痛，可到第二天下午就不痛了，曾经治疗情况和效果:没有去检查想得到怎样的帮助:是不是快出生了
妇产科,产科,妇产科,产科,怀孕能不能坐长途汽车,请问:怀孕时能否坐7个小时的长途汽车?(已有两次做人流的记录)
妇产科,产科,妇产科,产科,孕期肾积水对胎儿有影响吗,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问孕期肾积水对胎儿有影响吗
妇产科,产科,妇产科,产科,胎心监护140左右是男孩还是女孩,我如今怀孕20周了，以前的时候听别人说肚子的孩子140以下的是男孩，140以上的是女孩，我如今肚子的孩子132，请问一下大夫，这个有科学依据的吗？
妇产科,计划生育,妇产科,产科,流产后来月经量比较大怎么办,流产后第一次来月经，第一天量比较大...这正常吗？？
妇产科,营养保健科,儿科,产科,最近想要宝宝头胎是女儿如何怀儿子呢？,最近想要宝宝，头胎是女儿，二胎想要儿子，听周围人说可以用中药调理，不知晓靠不靠谱？调养后怀上对孩子和大人有啥副作用吗 
妇产科,产科,妇产科,产科,子宫如何能恢复的快,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问子宫如何能恢复的快
妇产科,产科,妇产科,产科,预产期到了羊水8.1怎么办,无
妇产科,产科,妇产科,产科,产后风住院需要注意哪些问题？,产后风住院需要有留意哪些问题？
妇产科,营养保健科,儿科,产科,母乳是前部分奶好还是后部分好,听说母乳分前奶和后奶，那喂宝宝时，母乳是前部分奶好还是后部分好？
妇产科,产科,妇产科,产科,第一次产检需要多少钱？,我也是家里条件不怎么好的，现在还得去做那个产检，第一次产检需要有多少钱？
妇产科,产科,妇产科,产科,怀男孩女孩孕妇身上有哪些不同,怀孕期间总是特别难受，而且孕吐也是非常厉害，请问怀男孩女孩孕妇身上有哪些不同
妇产科,妇产科,妇产科,产科,体外射精会引起怀孕吗,因为我是做美容的所以有些产品给顾客用会致使我姨妈不稳定就上个月没顾客弄我姨妈来的挺准上个月20号有过性生活射外面了然后这个月到现在还没来姨妈我没想要孩子这个可有怀上 
妇产科,产科,妇产科,产科,孕30周要做检查的项目是什么,出现这种情况我是很害怕的，动不动小腹疼痛，不知道怎么解决呢，所以我过来咨询，请问孕30周要做检查的项目是什么
妇产科,[],[],产科,破腹产八个月以后可以用震动减肥腰带吗,无
妇产科,妇产科,妇产科,产科,怀孕后有哪些注意事项,病情描述:女，25岁。月经推迟两天，测了是怀孕了。总是困，睡起来就是觉得睡不醒。如果喝冷水就会隐隐的有点肚子痛。曾经治疗情况和效果:胸还是很涨，这样的情况要到什么时候呢？想得到怎样的帮助:请问怀孕前期要注意什么？都有哪些事是不能做的？
妇产科,内科,儿科,产科,怀孕期间转氨酶高是否是肝炎？能否用药？,"目前我怀孕16周，做过正常孕检，查肝功两次情况如下:
第一次2006年1月6日结果:HBSAg阴性，抗HBS阳性,谷丙转氨酶125u/L，谷草转氨酶67u/L,总蛋白76g/L,白蛋白47g/L,球蛋白29g/L.
第二次2006年1月11日结果:HBSAg阴性，抗HBS阳性,谷丙转氨酶131u/L，谷草转氨酶60u/L,谷草/谷丙0.5,总蛋白76g/L,白蛋白46g/"
妇产科,产科,妇产科,产科,怀孕多久消化功能会好？,我现在怀上也一个月了，但是自己的胃口一直不是很好，吃的东西也并不多，现在都瘦了不少，而且很忧心孩子的营养问题，怀上多长时间吸收功能会好？ 在乎怎样的帮助：怀上多长时间吸收功能会好？
妇产科,产科,妇产科,产科,胎停因为脑积水后多久可以怀孕,我今年生的孩子死与子宫内，是脑积水，请问我该做那些检查，究竟是什么原因，如果在要孩子需要间隔多少时间，还能不能要个健康的孩子，谢谢
妇产科,计划生育,妇产科,产科,孕期四个月同房是否需要带套,"在怀孕四个月时做爱,需要带安全套吗"
妇产科,内分泌科,内科,产科,请问妊娠期糖尿病生完孩子多久恢复？,在我第28周的时候测出了妊娠期糖尿病，之后就一直食物控制，并且比较好。现在已经生完了孩子不到一个月时间，这期间我也一直控制了饮食的。
妇产科,产科,妇产科,产科,剖腹产应该怎样产后护理,您好医生，我剖腹产36天来的月经然后剖腹产55天同房两次体外射精怀上几率大吗
妇产科,产科,妇产科,产科,妊娠急性脂肪肝和肥胖性脂肪肝有关系吗？,我是个有些胖的人，体检的时候医生说有轻度脂肪肝。今年打算要孩子了，无意看到“妊娠急性脂肪肝”这种疾病，危害很大，心里十分恐慌，我现在这种轻度脂肪肝的情况会不会引起怀孕后的那种“妊娠急性脂肪肝”？？
妇产科,计划生育,妇产科,产科,怀孕了要马上作B超检测吗,"我最后一次月经是10月06日来的,后来在11月19号出了几天好像月经快完的那种深红色的分必物,感觉不像是血,只需用卫生护垫就可以应付的.现在经测试有了生孕,但是我在10月30日有去作了一个痔疮的手术,手术后有打了四五天的消炎的药水,我记得第一天有打替销锉.现又不知道怀孕是在什么时候的,所以不知道这些药水有没有影响啊.好烦啊.医生说现在还不能做B超啊.真是好烦啊.
我之前也曾意外流产过"
妇产科,计划生育,妇产科,产科,为什么怀孕后检查孕酮总是很低？,无
妇产科,产科,妇产科,产科,我的B超结果正常吗?,"我怀孕有3个月零25天了.
今天我去医院做了个B超结果是;
胎位不定,胎心音148 次/分,规律.胎动(+)
双顶径34MM. 头围116MM. 腹围92MM.股骨长20MM.15W.
HC/AC比值1,26. FL/AC比值0,21. FL/BPD比值0.58.
羊水最大径23+mm.胎盘位置后壁.前后径12MM.分级0级.
"
