department,finaly_result1,finaly_result2,dep,title,ask
内科,计划生育,妇产科,消化科,胃不好怎么办,"您好: 大夫 我有这个症状好长时间了，就是胸闷，烧心，有时腹胀，坐卧不安，做过钡餐，药吃了不少就是不见好转，希望大夫，能够告诉我，严重不，我最近没有吃药，也没有看医生，以前医生告诉我，如果吃药，还不好的话，就不用吃了，以后
自己慢慢会好的，可是现在还没好。恳切答复。"
内科,消化科,内科,消化科,88岁男性结肠肿瘤要怎么办,今年五月确诊。消瘦明显、吃不下东西，无力，没有胃口。大便以稀为主，近期在齐鲁医院住院。没有明显效果。
内科,营养保健科,儿科,消化科,胃痛烧心肚子胀,我是一位出租车司机，每天吃晚饭都是不及时的，所以一年前我得了浅表性胃炎，经过喝药救治已经见好，可是最近这段时间我老是烧心，胃里酸酸的，嗳气，有的时候还肚子胀。
内科,消化科,内科,消化科,急性肠胃炎几天能好？,无
内科,消化科,内科,消化科,老公感染幽门螺杆菌，我可以吃卫舒元预防吗,老公感染幽门螺杆菌一年左右了，最近在吃卫舒元，我可以吃卫舒元预防吗？
内科,消化科,内科,消化科,三个月前检查有胆汁反流性胃炎怎么办？,胃镜仔细检查确诊:非萎缩性胃炎。但是喝一点儿酒老是痛、在胸窝位子，怎么办？
内科,消化科,内科,消化科,胃病开始的时候的症状是什么？,每天晚上12点睡觉，早上5点胃会痛醒我。醒过来去吃早饭，吃了就有点胃胀的感觉吃不下东西。这是胃病的症状吗？
内科,消化科,内科,消化科,便秘严重该如何医治,半个多月了，大便过于干燥，上厕所很困难
内科,消化科,内科,消化科,请问腹泻吃什么药好,最近吃了5天些减肥药，然后就有类似拉肚子的症状，一吃饭就拉肚子，水喝多了也拉，晚上肚子还会咕噜咕噜响，腹部没有不适感，不疼，大便不成形，黄色且水面有很多油，这是什么病啊？
内科,消化科,内科,消化科,做了食管裂孔疝修补术术后怎么修养？,本人刚刚做完食管裂孔疝修补术，现在还在医院，由护士帮帮忙照料着。过几天就要回家调养。因为是肠道方面的手术，想着饮食方面需要有留意。您好有什么是不能够吃的？
内科,产科,妇产科,消化科,什么疾病会导致便血,新发现、腹痛
内科,消化科,内科,消化科,食管难受盼帮助,嗓子左侧疼痒有痰，河北省二院确诊为反流性食管炎
内科,泌尿科,外科,消化科,结肠炎大便变细吗,"
最近不知道怎么回事，消化一直不怎好，吃东西很久也不消化而且还有胀气，吃了要没有什么明显效果，每天都特难受，请问结肠炎大便变细吗"
内科,消化科,内科,消化科,左腹疼小便混浊带有血丝怎么回事,我左腹特疼 小便疼有浑浊并带有血丝
内科,消化科,内科,消化科,半夜偶尔胃酸呕吐吐出来都是水是什么原因？,半夜里偶尔胃酸干呕吐出来都是水世什么原因啊？
内科,消化科,内科,消化科,大便异常该如何是好,那块深色的大便处 更加坚硬 变成球状 附在正常大便的一侧。肉眼看去 有的就像粘液干化了的状态，。 肚子不舒服 完闹肚子 有时肚脐紧右侧安痛曾经治疗情况和效果:05年到现在 做过3次肠镜 没发现问题  有痔疮。 最近检查肠镜已经有2年。想得到怎样的帮助:请问这是怎么回事呢？是不是肠子里有东西啊。
内科,产科,妇产科,消化科,应该怎么治疗结肠炎,腹痛，拉肚，大连市中心医院
内科,消化科,内科,消化科,我每天下午到深夜这段时间下气很多左小腹胀气是,"详细病情及咨询目的:每天下午至深夜左小腹胀气，矢气秽臭而多，最近几年还有无名消瘦，盼望治疗
本次发病及持续的时间:很久了，大概有两年多
目前一般情况:下午到深夜矢气多。腹胀而矢气秽
病史:以前较轻，近两年转重
以往的诊断和治疗经过及效果:吃过结肠炎丸、清胃丸、利胆丸等，有联疗效但明显
辅助检查:无
其它:"
内科,消化科,内科,消化科,早上吃了鸡翅，刚吃完半小时左右，出现，头疼，,早上吃了鸡翅，觉得有些怪，没注意，吃完半个小时，出现腹泻，头疼，呕吐症状，请问是食物中毒吗
内科,消化科,内科,消化科,经常便秘食补的话应该吃什么还有缺钙应该怎么补,无
内科,内分泌科,内科,消化科,请问今天做c13检测出幽门螺杆菌hp阳性53,请问今天做c13检测出幽门螺杆菌hp阳性53.5.我的抵抗力怎么这么差？
内科,内科,儿科,消化科,老年人突然头晕恶心呕吐是怎么回事,无
内科,消化科,内科,消化科,什么情况下要做胃镜,早上醒来，胃感不适，大便不痛快，日三次。
