department,finaly_result1,finaly_result2,dep,title,ask
外科,神经科,内科,肛肠,脱肛便血怎么治,无
外科,内分泌科,内科,肛肠,外痔应该怎么样治疗更有效,我孕8个月了，被告知得了外痔，挺难受的。得了外痔应当怎么办？
外科,肛肠,外科,肛肠,病毒性肠炎要怎样治疗,"本次发病及持续的时间:3天
其它:我儿子这两天腹泻，大便水状，黄色，象鸡蛋汤伴有呕吐，发烧现象，请问怎样治疗。"
外科,肛肠,外科,肛肠,直乙结肠肿瘤应该怎么治疗？,我被查出来患了直乙结肠肿瘤，这个病很严重啊，直乙结肠肿瘤应当怎么治疗？
外科,肛肠,外科,肛肠,肛门术后变小排不出怎么办,年轻时候有痔疮，动了两次痔疮手术，去年又做了一次扩肛手术现肛门小了排不岀大便.
外科,呼吸科,内科,肛肠,怎样治痔疮,今年67岁，肛门混合痔二十多年，近几年几乎天天有出血，非常厌人。
外科,肛肠,外科,肛肠,治内痔哪些药物效果好,我发现我自己每次大便的时候都有些血，有时候只是在厕所里蹲一会也会出血，但是也没其它什么症状，我觉得应该是痔疮，而且是内痔，请问：治内痔哪些药物效果好
外科,肛肠,外科,肛肠,肛窦炎的快速治愈方法有什么,近两个月肛门总是有瘙痒感，很痛总是想挠。有时候还会疼，割裂感，排便时疼痛感会加巨，而且还总有排不尽的感觉。去医院仔细检查过是肛窦炎，吃了几天药还是没好，想寻个快的治愈方法在乎怎样的帮助：肛窦炎的快速治愈方法
外科,计划生育,妇产科,肛肠,大便困难是痔疮引起吗？,大便困难是不是由于痔疮导致的？
外科,肛肠,外科,肛肠,溃疡性直乙状结肠炎如何治疗？,大便4天一次，排着比较困难，大便有脓09年10月大便有血去医院仔细检查的曾经的治疗情况和效果：镜检结果是，直乙状结肠炎粘膜慢性炎伴淋巴联盟纤维化在乎怎样的帮助：如何治疗好
外科,肛肠,外科,肛肠,一般情况下内痔患者的护理常识是什么,前不久去医院做电镜仔细检查，是内痔，没脱开，很小，也没破溃破皮，但是肛门有些不舒服和发烫，请问医生一般情况下内痔患者的护理常识是什么
外科,神经科,内科,肛肠,治疗内痔选什么方法好,一开始我洗澡的时候发现我的肛门偏左边的地方好像长了一个很小的东西，当时摸着不会痛我也没在意，但是过了好几天之后，那个东西非但没有消失，反而更加大了，还非常的痛，流血了请问治疗内痔选什么方法好
外科,肛肠,外科,肛肠,便血要做哪些检查确诊,前两年的时候，公司我们去医院健康检查，我被仔细检查出高强了肝硬化，现在我感觉自己的病越来越严重了，而且还偶尔有呕血拉血的现象，我是没多长时间可以活了，病入膏肓了呢？在乎怎样的帮助：尿血要做哪些仔细检查
外科,肛肠,外科,肛肠,较近一周天天拉肚子怎么治疗才妥帖？,我最近腹泻的还是比较严重的，不知道吃了什么东西，然后把肚子吃坏了，这两天总是出现腹部疼痛而且拉肚子.请问较近一周天天拉肚子怎么治疗才妥帖？
外科,肛肠,外科,肛肠,我家宝宝老腹泻要咋缓解抑制,性别:男年龄:7个月病史:先是流鼻涕慢慢就是拉肚子去医院化验有两个脓细胞可天天喝药就是不好喝的是头孢和枯草杆菌二联活菌颗粒在乎怎样的帮助：我家宝宝老恶心呕吐？
外科,肛肠,外科,肛肠,肚子有点痛还有拉肚子是怎么回事,肚子有点痛，除了拉肚子，鼻子还有点堵，肚子还有点胀，请问；这个症状要怎么治疗
外科,肛肠,外科,肛肠,小儿肠套叠可不可以吃百合？,我家孩子这两天总是一阵一阵的哭，而且特别的嗜睡，吃东西的时候胃口还不好，那是肠胃出了问题，摸他的肚子还有肿块，请问儿童肠套叠症状及防治？
外科,肛肠,外科,肛肠,宝宝拉肚子绿色的怎么处理比较妥帖呢？,我最近腹泻的还是比较严重的，不知道吃了什么东西，然后把肚子吃坏了，这两天总是出现腹部疼痛而且拉肚子.请问宝宝拉肚子绿色的怎么处理比较妥帖呢？
外科,肛肠,外科,肛肠,肚子痛一直咕咕叫然后拉水是怎么回事,经常拉肚子，平时吃东西，我很注意的，好些东西都不敢给吃，现在吃的东西都原样拉出的请问：肚子痛一直咕咕叫然后拉水是怎么回事
外科,肛肠,外科,肛肠,大便干结吃什么水果好,无
外科,肛肠,外科,肛肠,坐月子脱肛可以自己回去吗,最近不知道怎么回事肛门一直有脓水，而且还肿疼男人，好了一段时间就疼，请问坐月子脱肛可以自己回去吗
外科,肛肠,外科,肛肠,我今年动了两次小手术，第一次痔疮过了四个月又,我今年动了两次小手术，第一次痔疮过了四个月又动了一次蒜气，动蒜气再次在手术中我身体发冷发抖，呼吸困难，后来出院了一个月左右，我就出现呼吸困难，身体发冷发抖，头晕，心烦，去医院检查说正常的，在小诊所检查说是，心肌缺血，心肌供血不足，中医说的是气血两虚
外科,耳鼻喉科,儿科,肛肠,请问大便呈颗粒状怎么回事,无
外科,肛肠,外科,肛肠,58岁男性连续肠梗阻怎么办..,58岁男性连续肠梗阻怎么办
外科,肛肠,外科,肛肠,生完孩子患有肛裂不手术可以好吗,怀上的时候就再次出现了肛裂，当时不太好做手术，现在生完孩子了，孩子现在还在哺乳期，可以做手术吗 在乎怎样的帮助：生完孩子患肛裂不手术可以好吗
外科,神经内科,儿科,肛肠,有混合痔需要如何治,我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长混合型痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；有混合痔需要如何治
外科,肛肠,外科,肛肠,为什么会厌油腻腹泻多日,厌油腻 腹泻多日
外科,神经内科,儿科,肛肠,大便之后肛门出血,"患者男，15岁，以前身体状况良好。
此次病情：
大便之后纸上有血"
外科,肛肠,外科,肛肠,肛门括约肌有硬结吃什么药好,最近不知道怎么回事肛门一直有脓水，而且还肿疼男人，好了一段时间就疼，请问肛门括约肌有硬结吃什么药好
外科,肛肠,外科,肛肠,女性直肠息肉症状是什么,我是男性，40岁，体检说有直肠息肉，黄豆大小，我很担心，请问；女性直肠息肉症状是什么
