department,finaly_result1,finaly_result2,dep,title,ask
儿科,耳鼻喉科,儿科,耳鼻喉科,婴幼儿扁桃体炎疼如何治效果才好,女宝宝，目前7岁，一开始，说自己嗓子疼，发现，说话的时候声音有点沙哑，同时，有点发烧也没精神，请问：婴幼儿扁桃体炎疼如何治效果才好。
儿科,耳鼻喉科,儿科,耳鼻喉科,小孩扁桃体炎难受理应怎样治效果才好,我家男宝，今年9岁，刚开始，说自己咽东西疼，察觉到，说话的时候声音有点沙哑，并且，一直都有点发烧，请问：小孩扁桃体炎难受理应怎样治效果才好。
儿科,耳鼻喉科,儿科,耳鼻喉科,孩童中耳炎流脓该如何治疗好,男孩子，已经9岁了，较近几天，孩子一直扣耳朵，说痒，另外，耳屎有点稠且偏黄，而且，伴有头痛发烧，请问：孩童中耳炎流脓该如何治疗好。
儿科,耳鼻喉科,儿科,耳鼻喉科,小孩子扁桃体发炎总哭饮食禁忌有哪些,男宝，刚满5个月，一开始，说嗓子喝水都觉得疼，发现，伴有轻微的咳嗽，而且，现在已经高烧不退了，请问：小孩子扁桃体发炎总哭饮食禁忌有哪些。
儿科,耳鼻喉科,儿科,耳鼻喉科,孩童中耳炎耳朵疼该怎么样治疗才好,女宝宝3岁，刚上幼儿园，这几天，孩子告诉我耳朵有点疼，察觉到，耳屎有点稠且偏黄，同时，好像没什么食欲也很乏力，请问：孩童中耳炎耳朵疼该怎么样治疗才好。
儿科,耳鼻喉科,儿科,耳鼻喉科,小孩子扁桃体发炎哭闹不能吃什么,女宝宝，才1个月，刚开始，说自己咽东西疼，察觉到，咳嗽比较剧烈，另外，一直都有点发烧，请问：小孩子扁桃体发炎哭闹不能吃什么。
儿科,耳鼻喉科,儿科,耳鼻喉科,小孩子扁桃体发炎难受应怎样治效果才好,男孩，7岁，上小学了，一开始，说自己嗓子疼，发现，伴有轻微的咳嗽，同时，现在已经高烧不退了，请问：小孩子扁桃体发炎难受应怎样治效果才好。
儿科,耳鼻喉科,儿科,耳鼻喉科,幼儿扁桃体炎高烧可以多吃什么,男宝，刚满6个月，一开始，说自己咽东西疼，察觉到，说话的时候声音有点沙哑，而且，伴有低烧，请问：幼儿扁桃体炎高烧可以多吃什么。
儿科,耳鼻喉科,儿科,耳鼻喉科,要是孩子的扁桃体发炎会发生哪些症状,我家的孩子是男宝宝，5岁，一开始，说嗓子喝水都觉得疼，发现，咳嗽比较剧烈，并且，现在已经高烧不退了，请问：要是孩子的扁桃体发炎会发生哪些症状。
儿科,耳鼻喉科,儿科,耳鼻喉科,儿童中耳炎耳朵痒该怎样诊治,男孩，13岁，上小学了，较近几天，孩子告诉我耳朵有点疼，另外，偶尔还会有黄色的液体流出，另外，耳朵嗡嗡的，有点低烧，请问：儿童中耳炎耳朵痒该怎样诊治。
